interval,day,day_step,hour,transformer_kw,transformer_kvar,losses_kw,voltage_max_pu,voltage_min_pu,curtailed_kw
0,0,59,14.75,-16.36076,19.500732,1.6162217,1.0209126,0.9987686,7.1213503
1,0,60,15.0,-18.286705,3.6149025,0.50798523,1.028548,1.0,10.750676
2,0,61,15.25,-17.437935,3.5924911,0.47126693,1.0275143,1.0,9.333691
3,0,62,15.5,-17.42506,3.4098625,0.4691081,1.0275592,1.0,8.225525
4,0,63,15.75,-17.169952,3.4070015,0.46426174,1.0275115,1.0,6.2888613
5,0,64,16.0,-16.769886,3.44944,0.44855615,1.0269037,1.0,4.4590096
6,0,65,16.25,-15.726566,3.616333,0.40448153,1.0250505,1.0,2.421475
7,0,66,16.5,-13.637066,3.501892,0.31973353,1.023283,0.99999326,0.8220968
8,0,67,16.75,-10.654449,3.7641525,0.21616393,1.0181683,0.99991244,4.172325e-07
9,0,68,17.0,-7.431984,3.7817955,0.1257509,1.013839,0.99984634,0.0
10,0,69,17.25,-4.0922165,4.0216446,0.0627361,1.0091926,0.99976015,0.0
11,0,70,17.5,-0.13065338,4.3497086,0.023319095,1.0014063,0.9991797,0.0
12,0,71,17.75,2.6006699,4.482746,0.019084342,1.0,0.9957529,0.0
13,0,72,18.0,4.2181015,4.5638084,0.025068276,1.0,0.99379295,0.0
14,0,73,18.25,4.6725273,4.7979355,0.029642452,1.0,0.993105,0.0
15,0,74,18.5,4.6725273,4.7979355,0.030060127,1.0,0.99310505,0.0
16,0,75,18.75,4.6830177,4.8007965,0.029881435,1.0,0.9929839,0.0
17,0,76,19.0,4.6830177,4.8007965,0.029910149,1.0,0.99298394,0.0
18,0,77,19.25,4.7822,4.945278,0.032209035,1.0,0.9928854,0.0
19,0,78,19.5,4.781723,4.945755,0.032088093,1.0,0.9928854,0.0
20,0,79,19.75,4.5809746,4.6639442,0.030249154,1.0,0.993064,0.0
21,0,80,20.0,4.5809746,4.6639442,0.030834293,1.0,0.99306405,0.0
22,0,81,20.25,4.5542717,4.59671,0.028593037,1.0,0.9930773,0.0
23,0,82,20.5,4.5542717,4.59671,0.028627299,1.0,0.99307734,0.0
24,0,83,20.75,4.3959618,4.377842,0.025921745,1.0,0.99357396,0.0
25,0,84,21.0,4.3959618,4.3768883,0.026252002,1.0,0.9935739,0.0
26,0,85,21.25,4.2409897,4.365444,0.025889233,1.0,0.9934959,0.0
27,0,86,21.5,4.1947365,4.234314,0.02370897,1.0,0.99377996,0.0
28,0,87,21.75,4.1475296,4.160404,0.023422278,1.0,0.9939821,0.0
29,0,88,22.0,5.903721,4.2920113,0.043107815,1.0,0.98835915,0.0
30,0,89,22.25,5.903721,4.2920113,0.043492995,1.0,0.9883591,0.0
31,0,90,22.5,6.1945915,4.2390823,0.044860292,1.0,0.9882566,0.0
32,0,91,22.75,6.193638,4.2386055,0.043949537,1.0,0.9882565,0.0
33,0,92,23.0,5.3625107,3.6110878,0.031968895,1.0,0.98938113,0.0
34,0,93,23.25,4.9562454,3.3903122,0.027897703,1.0,0.99037373,0.0
35,0,94,23.5,4.8103333,3.2138824,0.0237036,1.0,0.99101907,0.0
36,0,95,23.75,4.8189163,3.297329,0.02883174,1.0,0.989919,0.0
37,1,0,0.0,4.432678,3.0112267,0.022426702,1.0,0.9908446,0.0
38,1,1,0.25,4.5671463,2.8448105,0.024514915,1.0,0.9899605,0.0
39,1,2,0.5,4.5671463,2.8448105,0.024662646,1.0,0.9899605,0.0
40,1,3,0.75,4.0507317,2.667904,0.020365514,1.0,0.99100745,0.0
41,1,4,1.0,3.8733482,2.5753975,0.016893847,1.0,0.9916414,0.0
42,1,5,1.25,3.5848618,2.453804,0.01270866,1.0,0.99285847,0.0
43,1,6,1.5,3.382206,2.2630692,0.010238961,1.0,0.9936581,0.0
44,1,7,1.75,3.382206,2.2630692,0.009998828,1.0,0.9936581,0.0
45,1,8,2.0,3.4704208,2.2559166,0.011205224,1.0,0.99339867,0.0
46,1,9,2.25,3.5824776,2.301693,0.013248731,1.0,0.99281996,0.0
47,1,10,2.5,3.5829544,2.3021698,0.013524864,1.0,0.99282,0.0
48,1,11,2.75,3.5824776,2.3026466,0.013775314,1.0,0.9928201,0.0
49,1,12,3.0,3.5824776,2.3026466,0.0137752555,1.0,0.9928201,0.0
50,1,13,3.25,3.4632683,2.2220612,0.013549572,1.0,0.9923667,0.0
51,1,14,3.5,3.4632683,2.2211075,0.013748173,1.0,0.9923667,0.0
