tariff,tariff_parameters,controller_policy_id,controller_name,controller_parameters,split,validation_seed_count,train_mean_settlement_chf_per_agent,train_settlement_gap_chf_per_agent,credible_response_tolerance_chf_per_agent,fair_leg_reference_controller_policy_id,fair_leg_reference_controller_name,tariff_passes_acceptance_screens,tariff_is_finalist,pareto_objectives,controller_active,controller_charge_start_h,controller_spread_h,controller_charge_fraction,controller_reserve_fraction,controller_release_h,controller_export_cap_kw,controller_voltage_gain_kw_per_pu,controller_voltage_deadband_pu,controller_voltage_max_kw,controller_exchange_mix,controller_grid_charge_fraction,controller_grid_charge_start_h,controller_grid_charge_end_h,controller_grid_charge_target_soc,controller_battery_export_fraction,controller_battery_export_start_h,controller_battery_export_end_h,transformer_draw_peak_kw,transformer_export_peak_kw,reverse_flow_share,losses_share,voltage_p99_pu,over_voltage_share,coincidence_factor,peak_to_average,max_ramp_kw,flex_synchrony,community_settlement_chf,curtailed_share,self_consumption_share,cost_per_kwh_spread_chf,tenant_cost_per_kwh_chf,pv_only_cost_per_kwh_chf,pv_battery_cost_per_kwh_chf,large_flex_cost_per_kwh_chf,owner_cost_per_kwh_chf,tenant_import_share,valid_share,projection_mae_kw,tenant_cost_per_load_kwh_chf,pv_only_cost_per_load_kwh_chf,pv_battery_cost_per_load_kwh_chf,large_flex_cost_per_load_kwh_chf,fair_leg_reference_tenant_cost_per_load_kwh_chf,tenant_cost_delta_vs_fair_leg_chf_per_load_kwh,fair_leg_reference_pv_only_cost_per_load_kwh_chf,pv_only_cost_delta_vs_fair_leg_chf_per_load_kwh,fair_leg_reference_pv_battery_cost_per_load_kwh_chf,pv_battery_cost_delta_vs_fair_leg_chf_per_load_kwh,fair_leg_reference_large_flex_cost_per_load_kwh_chf,large_flex_cost_delta_vs_fair_leg_chf_per_load_kwh,worst_group_cost_increase_vs_fair_leg_chf_per_load_kwh,tariff_export_threshold_kw,tariff_export_stress_scale_kw,tariff_export_strength_chf_per_kwh,tariff_import_threshold_kw,tariff_import_stress_scale_kw,tariff_import_strength_chf_per_kwh,tariff_tenant_penalty_exempt,is_pareto
export_30kw_0.05,"{""export_strength_chf_per_kwh"": 0.05, ""export_stress_scale_kw"": 20.0, ""export_threshold_kw"": 30.0, ""import_strength_chf_per_kwh"": 0.0, ""import_stress_scale_kw"": 20.0, ""import_threshold_kw"": 45.0, ""tenant_penalty_exempt"": false}",5,stagger_11_1h,"{""policy_id"": 5.0}",validation,8,31.10565185546875,0.0,0.1,4,delay_13,False,False,transformer_export_peak_kw;transformer_draw_peak_kw;max_ramp_kw;curtailed_share;tenant_cost_delta_vs_fair_leg_chf_per_load_kwh;pv_only_cost_delta_vs_fair_leg_chf_per_load_kwh;pv_battery_cost_delta_vs_fair_leg_chf_per_load_kwh;large_flex_cost_delta_vs_fair_leg_chf_per_load_kwh,1.0,11.0,1.0,1.0,0.0,17.0,1000.0,0.0,0.005,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.688343524932861,60.380101680755615,0.4603794738650322,0.06584421545267105,1.0721373707056046,0.0560972741805017,0.7210002988576889,3.3856402039527893,13.226926326751709,0.6966892257332802,297.2932872772217,0.003794290456426097,0.3071623829524064,37029669.115895644,0.14867762306635912,-0.3693330732767964,-37029668.96721802,-3.7620180223461945,-2.307624939997617,0.6869873255491257,1.0,1.367816682140699e-08,0.14867762476205826,-0.194101152010262,-0.41970663145184517,-0.13382425997406244,0.2231858465820551,-0.07450822181999683,-0.1964150513522327,0.002313899341970682,-0.4546947292983532,0.034988097846508026,-0.14683324098587036,0.013008981011807919,0.034988097846508026,30.0,20.0,0.05,45.0,20.0,0.0,False,True
export_30kw_0.05,"{""export_strength_chf_per_kwh"": 0.05, ""export_stress_scale_kw"": 20.0, ""export_threshold_kw"": 30.0, ""import_strength_chf_per_kwh"": 0.0, ""import_stress_scale_kw"": 20.0, ""import_threshold_kw"": 45.0, ""tenant_penalty_exempt"": false}",6,stagger_11_2h,"{""policy_id"": 6.0}",validation,8,31.10320281982422,0.00244903564453125,0.1,4,delay_13,False,False,transformer_export_peak_kw;transformer_draw_peak_kw;max_ramp_kw;curtailed_share;tenant_cost_delta_vs_fair_leg_chf_per_load_kwh;pv_only_cost_delta_vs_fair_leg_chf_per_load_kwh;pv_battery_cost_delta_vs_fair_leg_chf_per_load_kwh;large_flex_cost_delta_vs_fair_leg_chf_per_load_kwh,1.0,11.0,2.0,1.0,0.0,17.0,1000.0,0.0,0.005,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.262276649475098,61.499595165252686,0.460007444024086,0.0667214635759592,1.0736812949180603,0.05728187598288059,0.7336159721016884,3.431496798992157,9.577751159667969,0.6486298143863678,297.5925979614258,0.0031608147437509615,0.3034372609290172,21509064.464020997,0.14709467563891326,-0.37026084279310756,-21509064.31692632,-3.266094271775243,-2.1853414741457344,0.6746954992413521,1.0,1.3510677354666711e-08,0.14709467720240355,-0.19461067719385028,-0.42012200877070427,-0.13316242676228285,0.2231858465820551,-0.07609116937965155,-0.1964150513522327,0.0018043741583824158,-0.4546947292983532,0.034572720527648926,-0.14683324098587036,0.013670814223587513,0.034572720527648926,30.0,20.0,0.05,45.0,20.0,0.0,False,True
export_30kw_0.05,"{""export_strength_chf_per_kwh"": 0.05, ""export_stress_scale_kw"": 20.0, ""export_threshold_kw"": 30.0, ""import_strength_chf_per_kwh"": 0.0, ""import_stress_scale_kw"": 20.0, ""import_threshold_kw"": 45.0, ""tenant_penalty_exempt"": false}",3,delay_11,"{""policy_id"": 3.0}",validation,8,31.075897216796875,0.029754638671875,0.1,4,delay_13,False,False,transformer_export_peak_kw;transformer_draw_peak_kw;max_ramp_kw;curtailed_share;tenant_cost_delta_vs_fair_leg_chf_per_load_kwh;pv_only_cost_delta_vs_fair_leg_chf_per_load_kwh;pv_battery_cost_delta_vs_fair_leg_chf_per_load_kwh;large_flex_cost_delta_vs_fair_leg_chf_per_load_kwh,1.0,11.0,0.0,1.0,0.0,17.0,1000.0,0.0,0.005,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.594048976898193,59.298158168792725,0.4603794738650322,0.06519872276112437,1.0712036192417145,0.05497141252271831,0.7037639692425728,3.348622888326645,13.635993003845215,0.7111844792962074,296.42567443847656,0.005021935299737379,0.3103008944216147,36804032.78056014,0.149695114852105,-0.36841099628415325,-36804032.63086503,-4.15281855101673,-2.381753970421841,0.6959897801280022,1.0,1.3634742335177918e-08,0.14969511423259974,-0.1935869175940752,-0.4184145759791136,-0.1340882321819663,0.2231858465820551,-0.07349073234945536,-0.1964150513522327,0.0028281337581574917,-0.4546947292983532,0.036280153319239616,-0.14683324098587036,0.012745008803904057,0.036280153319239616,30.0,20.0,0.05,45.0,20.0,0.0,False,True
export_30kw_0.15,"{""export_strength_chf_per_kwh"": 0.15, ""export_stress_scale_kw"": 20.0, ""export_threshold_kw"": 30.0, ""import_strength_chf_per_kwh"": 0.0, ""import_stress_scale_kw"": 20.0, ""import_threshold_kw"": 45.0, ""tenant_penalty_exempt"": false}",3,delay_11,"{""policy_id"": 3.0}",validation,8,25.615253448486328,0.0,0.1,4,delay_13,False,False,transformer_export_peak_kw;transformer_draw_peak_kw;max_ramp_kw;curtailed_share;tenant_cost_delta_vs_fair_leg_chf_per_load_kwh;pv_only_cost_delta_vs_fair_leg_chf_per_load_kwh;pv_battery_cost_delta_vs_fair_leg_chf_per_load_kwh;large_flex_cost_delta_vs_fair_leg_chf_per_load_kwh,1.0,11.0,0.0,1.0,0.0,17.0,1000.0,0.0,0.005,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.594048976898193,59.298158168792725,0.4603794738650322,0.06519872276112437,1.0712036192417145,0.05497141252271831,0.7037639692425728,3.348622888326645,13.635993003845215,0.7111844792962074,296.42564964294434,0.005021935299737379,0.3103008944216147,29621147.84717492,0.0027495742978736297,-0.35373237611903835,-29621147.844425343,-3.2389399105633805,-1.9838611358315554,0.6959897801280022,1.0,1.3634742335177918e-08,0.0027495748217916116,-0.18801166125649615,-0.3506277110427618,-0.10936834197491407,0.2231858465820551,-0.22043627176026348,-0.1964150513522327,0.00840339009573654,-0.4546947292983532,0.10406701825559139,-0.14683324098587036,0.03746489901095629,0.10406701825559139,30.0,20.0,0.15,45.0,20.0,0.0,False,True
export_30kw_0.15,"{""export_strength_chf_per_kwh"": 0.15, ""export_stress_scale_kw"": 20.0, ""export_threshold_kw"": 30.0, ""import_strength_chf_per_kwh"": 0.0, ""import_stress_scale_kw"": 20.0, ""import_threshold_kw"": 45.0, ""tenant_penalty_exempt"": false}",5,stagger_11_1h,"{""policy_id"": 5.0}",validation,8,25.605083465576172,0.01016998291015625,0.1,4,delay_13,False,False,transformer_export_peak_kw;transformer_draw_peak_kw;max_ramp_kw;curtailed_share;tenant_cost_delta_vs_fair_leg_chf_per_load_kwh;pv_only_cost_delta_vs_fair_leg_chf_per_load_kwh;pv_battery_cost_delta_vs_fair_leg_chf_per_load_kwh;large_flex_cost_delta_vs_fair_leg_chf_per_load_kwh,1.0,11.0,1.0,1.0,0.0,17.0,1000.0,0.0,0.005,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.688343524932861,60.380101680755615,0.4603794738650322,0.06584421545267105,1.0721373707056046,0.0560972741805017,0.7210002988576889,3.3856402039527893,13.226926326751709,0.6966892257332802,297.2933158874512,0.003794290456426097,0.3071623829524064,29870053.0835946,-0.0003063320515188095,-0.35655117925888297,-29870053.08390093,-2.90681809965833,-1.9181403144190512,0.6869873255491257,1.0,1.367816682140699e-08,-0.0003063312324229628,-0.1895824707171414,-0.3520437553524971,-0.1079436969012022,0.2231858465820551,-0.22349217781447805,-0.1964150513522327,0.00683258063509129,-0.4546947292983532,0.1026509739458561,-0.14683324098587036,0.03888954408466816,0.1026509739458561,30.0,20.0,0.15,45.0,20.0,0.0,False,True
export_30kw_0.15,"{""export_strength_chf_per_kwh"": 0.15, ""export_stress_scale_kw"": 20.0, ""export_threshold_kw"": 30.0, ""import_strength_chf_per_kwh"": 0.0, ""import_stress_scale_kw"": 20.0, ""import_threshold_kw"": 45.0, ""tenant_penalty_exempt"": false}",13,voltage_25,"{""policy_id"": 13.0}",validation,8,25.556659698486328,0.05859375,0.1,4,delay_13,False,False,transformer_export_peak_kw;transformer_draw_peak_kw;max_ramp_kw;curtailed_share;tenant_cost_delta_vs_fair_leg_chf_per_load_kwh;pv_only_cost_delta_vs_fair_leg_chf_per_load_kwh;pv_battery_cost_delta_vs_fair_leg_chf_per_load_kwh;large_flex_cost_delta_vs_fair_leg_chf_per_load_kwh,1.0,11.0,0.0,1.0,0.0,17.0,1000.0,25.0,0.005,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.630467414855957,61.03801774978638,0.4607514962553978,0.06491844821721315,1.0708361864089966,0.05628328560851514,0.7174663171172142,3.4762300550937653,13.329208374023438,0.6934226602315903,294.8721923828125,0.007373787026153877,0.3152651554800887,255.04981284468903,0.0075299477289732936,-0.34419579797301836,-255.04228289696005,-6.03567940573431,-2.092300800352067,0.7095167711377144,1.0,1.2258676851395478e-08,0.007529949594754726,-0.18288310046773404,-0.3471393622457981,-0.11263110395520926,0.2231858465820551,-0.21565589698730037,-0.1964150513522327,0.013531950884498656,-0.4546947292983532,0.10755536705255508,-0.14683324098587036,0.034202137030661106,0.10755536705255508,30.0,20.0,0.15,45.0,20.0,0.0,False,True
export_30kw_0.15,"{""export_strength_chf_per_kwh"": 0.15, ""export_stress_scale_kw"": 20.0, ""export_threshold_kw"": 30.0, ""import_strength_chf_per_kwh"": 0.0, ""import_stress_scale_kw"": 20.0, ""import_threshold_kw"": 45.0, ""tenant_penalty_exempt"": false}",6,stagger_11_2h,"{""policy_id"": 6.0}",validation,8,25.548370361328125,0.06688308715820312,0.1,4,delay_13,False,False,transformer_export_peak_kw;transformer_draw_peak_kw;max_ramp_kw;curtailed_share;tenant_cost_delta_vs_fair_leg_chf_per_load_kwh;pv_only_cost_delta_vs_fair_leg_chf_per_load_kwh;pv_battery_cost_delta_vs_fair_leg_chf_per_load_kwh;large_flex_cost_delta_vs_fair_leg_chf_per_load_kwh,1.0,11.0,2.0,1.0,0.0,17.0,1000.0,0.0,0.005,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.262276649475098,61.499595165252686,0.460007444024086,0.0667214635759592,1.0736812949180603,0.05728187598288059,0.7336159721016884,3.431496798992157,9.577751159667969,0.6486298143863678,297.5925540924072,0.0031608147437509615,0.3034372609290172,16062171.712161897,-0.005061121344278326,-0.35941045509388503,-16062171.717223018,-2.4923413056685293,-1.8082714162487732,0.6746954992413521,1.0,1.3510677354666711e-08,-0.00506112165749073,-0.19115258054807782,-0.35254584066569805,-0.10565278772264719,0.2231858465820551,-0.22824696823954582,-0.1964150513522327,0.005262470804154873,-0.4546947292983532,0.10214888863265514,-0.14683324098587036,0.04118045326322317,0.10214888863265514,30.0,20.0,0.15,45.0,20.0,0.0,False,True
export_30kw_0.15,"{""export_strength_chf_per_kwh"": 0.15, ""export_stress_scale_kw"": 20.0, ""export_threshold_kw"": 30.0, ""import_strength_chf_per_kwh"": 0.0, ""import_stress_scale_kw"": 20.0, ""import_threshold_kw"": 45.0, ""tenant_penalty_exempt"": false}",2,delay_09,"{""policy_id"": 2.0}",validation,8,25.53961944580078,0.07563400268554688,0.1,4,delay_13,False,False,transformer_export_peak_kw;transformer_draw_peak_kw;max_ramp_kw;curtailed_share;tenant_cost_delta_vs_fair_leg_chf_per_load_kwh;pv_only_cost_delta_vs_fair_leg_chf_per_load_kwh;pv_battery_cost_delta_vs_fair_leg_chf_per_load_kwh;large_flex_cost_delta_vs_fair_leg_chf_per_load_kwh,1.0,9.0,0.0,1.0,0.0,17.0,1000.0,0.0,0.005,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3639750480651855,62.49821186065674,0.4607514962553978,0.06669187126681209,1.0749972015619278,0.055960212368518114,0.72380780428648,3.6164132058620453,16.141772270202637,0.6736599951982498,291.2090816497803,0.012420074024703354,0.31959917935908466,29820711.58114579,0.005088840060453117,-0.3665321731863733,-29820711.576056946,-6.119461750466144,-2.156696192921653,0.7178204581141472,1.0,1.1029602897671964e-08,0.005088840363896452,-0.19486377900466323,-0.3426373917609453,-0.10751677490770817,0.2231858465820551,-0.21809700621815864,-0.1964150513522327,0.0015512723475694656,-0.4546947292983532,0.11205733753740788,-0.14683324098587036,0.03931646607816219,0.11205733753740788,30.0,20.0,0.15,45.0,20.0,0.0,False,True
export_30kw_0.3,"{""export_strength_chf_per_kwh"": 0.3, ""export_stress_scale_kw"": 20.0, ""export_threshold_kw"": 30.0, ""import_strength_chf_per_kwh"": 0.0, ""import_stress_scale_kw"": 20.0, ""import_threshold_kw"": 45.0, ""tenant_penalty_exempt"": false}",11,cap_4,"{""policy_id"": 11.0}",validation,8,22.03030014038086,0.0,0.1,4,delay_13,False,True,transformer_export_peak_kw;transformer_draw_peak_kw;max_ramp_kw;curtailed_share;tenant_cost_delta_vs_fair_leg_chf_per_load_kwh;pv_only_cost_delta_vs_fair_leg_chf_per_load_kwh;pv_battery_cost_delta_vs_fair_leg_chf_per_load_kwh;large_flex_cost_delta_vs_fair_leg_chf_per_load_kwh,1.0,11.0,0.0,1.0,0.0,17.0,4.0,0.0,0.005,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.594048976898193,37.7538800239563,0.4603794738650322,0.03793741622939706,1.0499321222305298,0.010749530221801251,0.8554679229855537,2.6740145683288574,7.724523544311523,0.5444963872432709,190.34451007843018,0.17971608601510525,0.37653615165186893,24879710.26994639,0.1629698640721134,-0.26290823762722004,-24879710.10697652,-2.750974066369025,-1.678899402337275,0.6960003152489662,1.0,6.613789516052293e-09,0.1629698625765741,-0.13780104415491223,-0.30798228457570076,-0.09024197282269597,0.2231858465820551,-0.060215984005481005,-0.1964150513522327,0.05861400719732046,-0.4546947292983532,0.14671244472265244,-0.14683324098587036,0.05659126816317439,0.14671244472265244,30.0,20.0,0.3,45.0,20.0,0.0,False,True
export_45kw_0.05,"{""export_strength_chf_per_kwh"": 0.05, ""export_stress_scale_kw"": 20.0, ""export_threshold_kw"": 45.0, ""import_strength_chf_per_kwh"": 0.0, ""import_stress_scale_kw"": 20.0, ""import_threshold_kw"": 45.0, ""tenant_penalty_exempt"": false}",3,delay_11,"{""policy_id"": 3.0}",validation,8,32.98897933959961,0.0,0.1,4,delay_13,False,False,transformer_export_peak_kw;transformer_draw_peak_kw;max_ramp_kw;curtailed_share;tenant_cost_delta_vs_fair_leg_chf_per_load_kwh;pv_only_cost_delta_vs_fair_leg_chf_per_load_kwh;pv_battery_cost_delta_vs_fair_leg_chf_per_load_kwh;large_flex_cost_delta_vs_fair_leg_chf_per_load_kwh,1.0,11.0,0.0,1.0,0.0,17.0,1000.0,0.0,0.005,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.594048976898193,59.298158168792725,0.4603794738650322,0.06519872276112437,1.0712036192417145,0.05497141252271831,0.7037639692425728,3.348622888326645,13.635993003845215,0.7111844792962074,296.4256763458252,0.005021935299737379,0.3103008944216147,38729770.066215694,0.20245905304788486,-0.37861996099854384,-38729769.86375664,-4.417959505181323,-2.5181278687420803,0.6959897801280022,1.0,1.3634742335177918e-08,0.20245905220508575,-0.1982529009692371,-0.4431994203478098,-0.14220295939594507,0.2231858465820551,-0.020726794376969337,-0.1964150513522327,-0.0018378496170043945,-0.4546947292983532,0.011495308950543404,-0.14683324098587036,0.004630281589925289,0.011495308950543404,45.0,20.0,0.05,45.0,20.0,0.0,False,True
