interval,day,day_step,hour,transformer_kw,transformer_kvar,losses_kw,voltage_max_pu,voltage_min_pu,curtailed_kw
0,0,59,14.75,-22.560596,19.704342,2.0401604,1.0353272,0.9988773,0.0
1,0,60,15.0,-27.28033,4.6696663,1.1353456,1.0430616,1.0,0.17358875
2,0,61,15.25,-25.437355,12.335777,1.1967453,1.0334997,0.99952453,0.0
3,0,62,15.5,-24.676323,4.766941,0.9359964,1.0378592,1.0,0.0
4,0,63,15.75,-21.861553,8.004189,0.82504517,1.0318362,0.99979866,0.0
5,0,64,16.0,-20.088196,3.7827492,0.63196385,1.031976,1.0,0.0
6,0,65,16.25,-18.594265,3.9577484,0.5589365,1.0314555,1.0,4.7683716e-07
7,0,66,16.5,-15.530586,3.7531853,0.4096979,1.0277759,1.0,0.0
8,0,67,16.75,-11.372089,3.7703514,0.24139369,1.0198933,0.9999263,4.172325e-07
9,0,68,17.0,-7.900715,3.7879944,0.1365979,1.0143999,0.9998552,0.0
10,0,69,17.25,-3.832817,4.016876,0.057513475,1.0078048,0.9997554,0.0
11,0,70,17.5,0.19693375,4.3492317,0.021820655,1.0006559,0.9989297,5.9604645e-08
12,0,71,17.75,2.8047562,4.4837,0.01989596,1.0,0.9955116,0.0
13,0,72,18.0,4.281521,4.5633316,0.025108762,1.0,0.99329257,0.0
14,0,73,18.25,5.159378,4.8003197,0.03319555,1.0,0.99218124,0.0
15,0,74,18.5,4.817009,4.848957,0.032218967,1.0,0.9924629,0.0
16,0,75,18.75,4.5633316,4.8003197,0.03059455,1.0,0.9936645,0.0
17,0,76,19.0,4.8909187,4.8680305,0.031298615,1.0,0.9928307,0.0
18,0,77,19.25,4.925251,4.9448013,0.033387624,1.0,0.9925559,0.0
19,0,78,19.5,5.0201416,5.022049,0.035146777,1.0,0.9929108,0.0
20,0,79,19.75,3.8337708,4.661083,0.025849381,1.0,0.99455804,0.0
21,0,80,20.0,4.945278,4.785061,0.035100587,1.0,0.99198854,0.0
22,0,81,20.25,4.0416718,4.5933723,0.026761841,1.0,0.99352646,0.0
23,0,82,20.5,4.5204163,4.5843124,0.028359268,1.0,0.9933522,0.0
24,0,83,20.75,3.8113594,4.374981,0.023139583,1.0,0.9948205,0.0
25,0,84,21.0,4.0745735,4.2700768,0.023171363,1.0,0.99415654,0.0
26,0,85,21.25,4.6429634,4.3673515,0.029716931,1.0,0.99206954,0.0
27,0,86,21.5,3.8394928,4.2333603,0.021883039,1.0,0.9946354,0.0
28,0,87,21.75,3.9682388,4.1594505,0.022583526,1.0,0.99405783,0.0
29,0,88,22.0,5.194187,4.2905807,0.033143543,1.0,0.99093753,0.0
30,0,89,22.25,6.134987,4.3377876,0.046740226,1.0,0.9877651,0.0
31,0,90,22.5,5.8255196,4.236698,0.042241707,1.0,0.98793876,0.0
32,0,91,22.75,5.5761337,4.034519,0.038214087,1.0,0.9889187,0.0
33,0,92,23.0,4.514694,3.6063194,0.024248896,1.0,0.99156713,0.0
34,0,93,23.25,4.6920776,3.3893585,0.02548049,1.0,0.99084485,0.0
35,0,94,23.5,4.4136047,3.2114983,0.020033188,1.0,0.99201024,0.0
36,0,95,23.75,5.065918,3.2978058,0.031920396,1.0,0.9889929,0.0
