interval,day,day_step,hour,transformer_kw,transformer_kvar,losses_kw,voltage_max_pu,voltage_min_pu,curtailed_kw
0,0,59,14.75,-23.038387,19.71674,2.0614877,1.0357593,0.9988859,0.0
1,0,60,15.0,-27.032375,4.766464,1.1176355,1.0425632,1.0,0.14057183
2,0,61,15.25,-25.335789,11.746883,1.1669527,1.0339205,0.99956954,0.0
3,0,62,15.5,-24.322033,4.714966,0.9106957,1.0376798,1.0,0.0
4,0,63,15.75,-22.038937,7.232189,0.8150432,1.0325078,0.99986404,0.0
5,0,64,16.0,-20.208359,3.885746,0.6408556,1.031961,1.0,4.7683716e-07
6,0,65,16.25,-18.724918,3.9610863,0.5644676,1.0312659,1.0,4.7683716e-07
7,0,66,16.5,-15.490055,3.7145615,0.40708157,1.0274148,1.0,0.0
8,0,67,16.75,-11.398792,3.7708282,0.24176738,1.0196058,0.9999268,4.172325e-07
9,0,68,17.0,-7.947445,3.7884712,0.13733585,1.0142338,0.99985605,0.0
10,0,69,17.25,-4.374981,4.0221214,0.06755686,1.0094072,0.9997658,0.0
11,0,70,17.5,-0.18787384,4.3473244,0.024121488,1.0014523,0.99922496,5.9604645e-08
12,0,71,17.75,2.6016235,4.482746,0.018892141,1.0,0.99575347,0.0
13,0,72,18.0,4.2181015,4.562855,0.02453461,1.0,0.99379295,0.0
14,0,73,18.25,4.6715736,4.7979355,0.029980538,1.0,0.99310493,0.0
15,0,74,18.5,4.671097,4.7974586,0.030071113,1.0,0.9931049,0.0
16,0,75,18.75,4.6834946,4.8003197,0.029947212,1.0,0.992984,0.0
17,0,76,19.0,4.6830177,4.8007965,0.029691694,1.0,0.9929839,0.0
18,0,77,19.25,4.7822,4.9443245,0.032156594,1.0,0.9928861,0.0
19,0,78,19.5,4.7822,4.9443245,0.03216432,1.0,0.9928861,0.0
20,0,79,19.75,4.5819283,4.664898,0.030157298,1.0,0.99306405,0.0
21,0,80,20.0,4.5809746,4.664898,0.030105934,1.0,0.99306405,0.0
22,0,81,20.25,4.553795,4.5962334,0.029383963,1.0,0.9930778,0.0
23,0,82,20.5,4.553795,4.5952797,0.029649906,1.0,0.9930778,0.0
24,0,83,20.75,4.3973923,4.377365,0.025906233,1.0,0.9935739,0.0
25,0,84,21.0,4.3973923,4.377365,0.026632814,1.0,0.9935739,0.0
26,0,85,21.25,4.2409897,4.365444,0.026253255,1.0,0.99349463,0.0
27,0,86,21.5,4.1947365,4.234314,0.024287587,1.0,0.99378,0.0
28,0,87,21.75,4.1484833,4.160404,0.022568591,1.0,0.9939814,0.0
29,0,88,22.0,5.903721,4.2920113,0.042684644,1.0,0.9883595,0.0
30,0,89,22.25,5.903721,4.2920113,0.04223109,1.0,0.98835945,0.0
31,0,90,22.5,6.1941147,4.239559,0.044177733,1.0,0.9882571,0.0
32,0,91,22.75,6.1941147,4.2409897,0.044947185,1.0,0.9882571,0.0
33,0,92,23.0,5.36108,3.6101341,0.032445394,1.0,0.9893816,0.0
34,0,93,23.25,4.9567223,3.390789,0.027827537,1.0,0.9903738,0.0
35,0,94,23.5,4.811287,3.2138824,0.024281701,1.0,0.99101967,0.0
36,0,95,23.75,4.81987,3.297329,0.028193932,1.0,0.9899188,0.0
37,1,0,0.0,4.4322014,3.0117035,0.022340642,1.0,0.99084455,0.0
38,1,1,0.25,5.024433,2.8471947,0.028456222,1.0,0.9896082,0.0
39,1,2,0.5,5.024433,2.8471947,0.028500937,1.0,0.9896083,0.0
40,1,3,0.75,4.4150352,2.6712418,0.022440253,1.0,0.9907279,0.0
41,1,4,1.0,4.2586327,2.5773048,0.019844936,1.0,0.99134403,0.0
42,1,5,1.25,3.9491653,2.4547577,0.015318657,1.0,0.992578,0.0
43,1,6,1.5,3.6854744,2.2654533,0.011322449,1.0,0.9934257,0.0
44,1,7,1.75,3.6854744,2.2654533,0.01167572,1.0,0.9934258,0.0
45,1,8,2.0,3.6854744,2.2654533,0.011380338,1.0,0.99342585,0.0
46,1,9,2.25,3.5820007,2.3021698,0.013411581,1.0,0.99281925,0.0
47,1,10,2.5,3.5820007,2.3021698,0.013507451,1.0,0.9928192,0.0
48,1,11,2.75,3.5820007,2.3021698,0.013385584,1.0,0.99281913,0.0
49,1,12,3.0,3.5820007,2.3021698,0.013513089,1.0,0.99281913,0.0
50,1,13,3.25,3.4623146,2.2230148,0.013579958,1.0,0.99236643,0.0
51,1,14,3.5,3.4623146,2.2230148,0.01306503,1.0,0.9923664,0.0
52,1,15,3.75,3.2758713,2.257824,0.012750734,1.0,0.99287295,0.0
53,1,16,4.0,3.2758713,2.257824,0.012899407,1.0,0.99287295,0.0
54,1,17,4.25,3.2758713,2.257824,0.013162002,1.0,0.99287295,0.0
55,1,18,4.5,3.5319328,2.3818016,0.014520032,1.0,0.99248135,0.0
56,1,19,4.75,3.5324097,2.3813248,0.014723177,1.0,0.99248135,0.0
57,1,20,5.0,3.8895607,2.550602,0.017009174,1.0,0.99189156,0.0
58,1,21,5.25,3.8895607,2.550602,0.016972857,1.0,0.99189156,0.0
59,1,22,5.5,3.8895607,2.550602,0.016986862,1.0,0.99189156,0.0
60,1,23,5.75,3.9935112,2.8243065,0.018102167,1.0,0.9923172,0.0
61,1,24,6.0,3.9935112,2.8243065,0.018126851,1.0,0.99231726,0.0
62,1,25,6.25,4.032612,3.0779839,0.019117033,1.0,0.9922832,0.0
63,1,26,6.5,2.4118423,3.0927658,0.01042091,1.0,0.9954247,0.0
64,1,27,6.75,-0.67424774,3.0674934,0.012715638,1.001169,0.9996235,0.0
65,1,28,7.0,-4.2071342,3.0727386,0.043488923,1.0062995,0.99983835,0.0
66,1,29,7.25,-7.82156,3.1762123,0.11096988,1.0123852,0.99990255,1.1920929e-07
67,1,30,7.5,-11.29055,3.2491684,0.20642194,1.017972,0.9999664,0.0
68,1,31,7.75,-14.204025,3.3664703,0.3132741,1.0238749,1.0,0.0
69,1,32,8.0,-17.202377,3.4656525,0.43881312,1.0282803,1.0,0.0
70,1,33,8.25,-20.050049,3.6306381,0.58327496,1.0315973,1.0,0.0
71,1,34,8.5,-21.853924,4.134178,0.69241065,1.0334737,1.0,0.0
72,1,35,8.75,-23.81754,5.182266,0.8270843,1.0351659,1.0,0.0
