tariff,tariff_parameters,controller_policy_id,controller_name,controller_parameters,split,validation_seed_count,train_mean_settlement_chf_per_agent,train_settlement_gap_chf_per_agent,credible_response_tolerance_chf_per_agent,fair_leg_reference_controller_policy_id,fair_leg_reference_controller_name,tariff_passes_acceptance_screens,tariff_is_finalist,pareto_objectives,controller_active,controller_charge_start_h,controller_spread_h,controller_charge_fraction,controller_reserve_fraction,controller_release_h,controller_export_cap_kw,controller_voltage_gain_kw_per_pu,controller_voltage_level_gain_kw_per_pu,controller_voltage_reference_pu,controller_voltage_deadband_pu,controller_voltage_max_kw,controller_exchange_mix,controller_grid_charge_fraction,controller_grid_charge_start_h,controller_grid_charge_end_h,controller_grid_charge_target_soc,controller_battery_export_fraction,controller_battery_export_start_h,controller_battery_export_end_h,transformer_draw_peak_kw,transformer_export_peak_kw,reverse_flow_share,losses_share,voltage_p99_pu,over_voltage_share,coincidence_factor,peak_to_average,max_ramp_kw,flex_synchrony,community_settlement_chf,curtailed_share,self_consumption_share,cost_per_kwh_spread_chf,tenant_cost_per_kwh_chf,pv_only_cost_per_kwh_chf,pv_battery_cost_per_kwh_chf,large_flex_cost_per_kwh_chf,owner_cost_per_kwh_chf,tenant_import_share,valid_share,projection_mae_kw,tenant_cost_per_load_kwh_chf,pv_only_cost_per_load_kwh_chf,pv_battery_cost_per_load_kwh_chf,large_flex_cost_per_load_kwh_chf,fair_leg_reference_tenant_cost_per_load_kwh_chf,tenant_cost_delta_vs_fair_leg_chf_per_load_kwh,fair_leg_reference_pv_only_cost_per_load_kwh_chf,pv_only_cost_delta_vs_fair_leg_chf_per_load_kwh,fair_leg_reference_pv_battery_cost_per_load_kwh_chf,pv_battery_cost_delta_vs_fair_leg_chf_per_load_kwh,fair_leg_reference_large_flex_cost_per_load_kwh_chf,large_flex_cost_delta_vs_fair_leg_chf_per_load_kwh,worst_group_cost_increase_vs_fair_leg_chf_per_load_kwh,tariff_export_threshold_kw,tariff_export_stress_scale_kw,tariff_export_strength_chf_per_kwh,tariff_import_threshold_kw,tariff_import_stress_scale_kw,tariff_import_strength_chf_per_kwh,tariff_tenant_penalty_exempt,is_pareto
export_30kw_0.05,"{""export_strength_chf_per_kwh"": 0.05, ""export_stress_scale_kw"": 20.0, ""export_threshold_kw"": 30.0, ""import_strength_chf_per_kwh"": 0.0, ""import_stress_scale_kw"": 20.0, ""import_threshold_kw"": 45.0, ""tenant_penalty_exempt"": false}",5,stagger_11_1h,"{""policy_id"": 5.0}",validation,8,31.10565185546875,0.0,0.1,4,delay_13,False,False,transformer_export_peak_kw;transformer_draw_peak_kw;max_ramp_kw;curtailed_share;tenant_cost_delta_vs_fair_leg_chf_per_load_kwh;pv_only_cost_delta_vs_fair_leg_chf_per_load_kwh;pv_battery_cost_delta_vs_fair_leg_chf_per_load_kwh;large_flex_cost_delta_vs_fair_leg_chf_per_load_kwh,1.0,11.0,1.0,1.0,0.0,17.0,1000.0,0.0,0.0,1.0,0.005,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.688343524932861,60.380101680755615,0.4603794738650322,0.06584421545267105,1.0721373707056046,0.0560972741805017,0.7210002988576889,3.3856402039527893,13.226926326751709,0.6966892257332802,297.2932872772217,0.003794290456426097,0.3071623829524064,37029669.115895644,0.14867762306635912,-0.3693330732767964,-37029668.96721802,-3.7620180223461945,-2.307624939997617,0.6869873255491257,1.0,1.367816682140699e-08,0.14867762476205826,-0.194101152010262,-0.41970663145184517,-0.13382425997406244,0.2231858465820551,-0.07450822181999683,-0.1964150513522327,0.002313899341970682,-0.4546947292983532,0.034988097846508026,-0.14683324098587036,0.013008981011807919,0.034988097846508026,30.0,20.0,0.05,45.0,20.0,0.0,False,True
export_30kw_0.05,"{""export_strength_chf_per_kwh"": 0.05, ""export_stress_scale_kw"": 20.0, ""export_threshold_kw"": 30.0, ""import_strength_chf_per_kwh"": 0.0, ""import_stress_scale_kw"": 20.0, ""import_threshold_kw"": 45.0, ""tenant_penalty_exempt"": false}",6,stagger_11_2h,"{""policy_id"": 6.0}",validation,8,31.10320281982422,0.00244903564453125,0.1,4,delay_13,False,False,transformer_export_peak_kw;transformer_draw_peak_kw;max_ramp_kw;curtailed_share;tenant_cost_delta_vs_fair_leg_chf_per_load_kwh;pv_only_cost_delta_vs_fair_leg_chf_per_load_kwh;pv_battery_cost_delta_vs_fair_leg_chf_per_load_kwh;large_flex_cost_delta_vs_fair_leg_chf_per_load_kwh,1.0,11.0,2.0,1.0,0.0,17.0,1000.0,0.0,0.0,1.0,0.005,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.262276649475098,61.499595165252686,0.460007444024086,0.0667214635759592,1.0736812949180603,0.05728187598288059,0.7336159721016884,3.431496798992157,9.577751159667969,0.6486298143863678,297.5925979614258,0.0031608147437509615,0.3034372609290172,21509064.464020997,0.14709467563891326,-0.37026084279310756,-21509064.31692632,-3.266094271775243,-2.1853414741457344,0.6746954992413521,1.0,1.3510677354666711e-08,0.14709467720240355,-0.19461067719385028,-0.42012200877070427,-0.13316242676228285,0.2231858465820551,-0.07609116937965155,-0.1964150513522327,0.0018043741583824158,-0.4546947292983532,0.034572720527648926,-0.14683324098587036,0.013670814223587513,0.034572720527648926,30.0,20.0,0.05,45.0,20.0,0.0,False,True
export_30kw_0.05,"{""export_strength_chf_per_kwh"": 0.05, ""export_stress_scale_kw"": 20.0, ""export_threshold_kw"": 30.0, ""import_strength_chf_per_kwh"": 0.0, ""import_stress_scale_kw"": 20.0, ""import_threshold_kw"": 45.0, ""tenant_penalty_exempt"": false}",29,instant_stagger_1h_10_ref101,"{""policy_id"": 29.0}",validation,8,31.09506607055664,0.010585784912109375,0.1,4,delay_13,False,False,transformer_export_peak_kw;transformer_draw_peak_kw;max_ramp_kw;curtailed_share;tenant_cost_delta_vs_fair_leg_chf_per_load_kwh;pv_only_cost_delta_vs_fair_leg_chf_per_load_kwh;pv_battery_cost_delta_vs_fair_leg_chf_per_load_kwh;large_flex_cost_delta_vs_fair_leg_chf_per_load_kwh,1.0,11.0,1.0,1.0,0.0,17.0,1000.0,0.0,10.0,1.01,0.005,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.484078407287598,58.74466896057129,0.4607514999806881,0.06477066595107317,1.0704415291547775,0.05454064719378948,0.7024675831198692,3.326879620552063,12.720763683319092,0.69414222240448,296.7853145599365,0.004817308399651665,0.3116124824558113,8348.407053184348,0.15039435503474766,-0.3659858814896771,-8348.256658829314,-6.046368347373043,-2.4656291255399854,0.7024975493550301,1.0,1.2822837680559473e-08,0.15039435308426619,-0.19229425489902496,-0.4187927898019552,-0.1348456982523203,0.2231858465820551,-0.0727914934977889,-0.1964150513522327,0.004120796453207731,-0.4546947292983532,0.03590193949639797,-0.14683324098587036,0.011987542733550072,0.03590193949639797,30.0,20.0,0.05,45.0,20.0,0.0,False,True
export_30kw_0.05,"{""export_strength_chf_per_kwh"": 0.05, ""export_stress_scale_kw"": 20.0, ""export_threshold_kw"": 30.0, ""import_strength_chf_per_kwh"": 0.0, ""import_stress_scale_kw"": 20.0, ""import_threshold_kw"": 45.0, ""tenant_penalty_exempt"": false}",25,instant_stagger_1h_5,"{""policy_id"": 25.0}",validation,8,31.09331703186035,0.012334823608398438,0.1,4,delay_13,False,False,transformer_export_peak_kw;transformer_draw_peak_kw;max_ramp_kw;curtailed_share;tenant_cost_delta_vs_fair_leg_chf_per_load_kwh;pv_only_cost_delta_vs_fair_leg_chf_per_load_kwh;pv_battery_cost_delta_vs_fair_leg_chf_per_load_kwh;large_flex_cost_delta_vs_fair_leg_chf_per_load_kwh,1.0,11.0,1.0,1.0,0.0,17.0,1000.0,0.0,5.0,1.0,0.005,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.515251636505127,59.13919258117676,0.4601934626698494,0.06515346886590123,1.0710985213518143,0.054432956501841545,0.7066693007946014,3.3388316333293915,13.067245483398438,0.6942074596881866,296.94791984558105,0.0044329121155897155,0.3102620654308439,658.5434741711593,0.14969603285355204,-0.36708654077664626,-658.3937781383058,-4.762497760817661,-2.4069873174276832,0.6973951682448387,1.0,1.2711041996738004e-08,0.14969603437930346,-0.19289119774475694,-0.41900261491537094,-0.13449520152062178,0.2231858465820551,-0.07348981220275164,-0.1964150513522327,0.0035238536074757576,-0.4546947292983532,0.035692114382982254,-0.14683324098587036,0.012338039465248585,0.035692114382982254,30.0,20.0,0.05,45.0,20.0,0.0,False,True
export_30kw_0.05,"{""export_strength_chf_per_kwh"": 0.05, ""export_stress_scale_kw"": 20.0, ""export_threshold_kw"": 30.0, ""import_strength_chf_per_kwh"": 0.0, ""import_stress_scale_kw"": 20.0, ""import_threshold_kw"": 45.0, ""tenant_penalty_exempt"": false}",28,instant_stagger_2h_10,"{""policy_id"": 28.0}",validation,8,31.092798233032227,0.012853622436523438,0.1,4,delay_13,False,False,transformer_export_peak_kw;transformer_draw_peak_kw;max_ramp_kw;curtailed_share;tenant_cost_delta_vs_fair_leg_chf_per_load_kwh;pv_only_cost_delta_vs_fair_leg_chf_per_load_kwh;pv_battery_cost_delta_vs_fair_leg_chf_per_load_kwh;large_flex_cost_delta_vs_fair_leg_chf_per_load_kwh,1.0,11.0,2.0,1.0,0.0,17.0,1000.0,0.0,10.0,1.0,0.005,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4043869972229,58.643639087677,0.4609375111758709,0.06507851695641875,1.0707576721906662,0.05477561056613922,0.7041191309690475,3.319744735956192,12.815296649932861,0.6609846577048302,297.2311191558838,0.004174396861344576,0.31037561683383263,415.10278591040014,0.14952941723233673,-0.3651335898812118,-414.95325649316777,-5.8483655228138245,-2.4318233082806153,0.6988474801182747,1.0,1.2610737898377522e-08,0.14952941983938217,-0.19186315080150962,-0.41911999322474003,-0.13488559145480394,0.2231858465820551,-0.07365642674267292,-0.1964150513522327,0.004551900550723076,-0.4546947292983532,0.03557473607361317,-0.14683324098587036,0.011947649531066418,0.03557473607361317,30.0,20.0,0.05,45.0,20.0,0.0,False,True
export_30kw_0.05,"{""export_strength_chf_per_kwh"": 0.05, ""export_stress_scale_kw"": 20.0, ""export_threshold_kw"": 30.0, ""import_strength_chf_per_kwh"": 0.0, ""import_stress_scale_kw"": 20.0, ""import_threshold_kw"": 45.0, ""tenant_penalty_exempt"": false}",3,delay_11,"{""policy_id"": 3.0}",validation,8,31.075897216796875,0.029754638671875,0.1,4,delay_13,False,False,transformer_export_peak_kw;transformer_draw_peak_kw;max_ramp_kw;curtailed_share;tenant_cost_delta_vs_fair_leg_chf_per_load_kwh;pv_only_cost_delta_vs_fair_leg_chf_per_load_kwh;pv_battery_cost_delta_vs_fair_leg_chf_per_load_kwh;large_flex_cost_delta_vs_fair_leg_chf_per_load_kwh,1.0,11.0,0.0,1.0,0.0,17.0,1000.0,0.0,0.0,1.0,0.005,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.594048976898193,59.298158168792725,0.4603794738650322,0.06519872276112437,1.0712036192417145,0.05497141252271831,0.7037639692425728,3.348622888326645,13.635993003845215,0.7111844792962074,296.42567443847656,0.005021935299737379,0.3103008944216147,36804032.78056014,0.149695114852105,-0.36841099628415325,-36804032.63086503,-4.15281855101673,-2.381753970421841,0.6959897801280022,1.0,1.3634742335177918e-08,0.14969511423259974,-0.1935869175940752,-0.4184145759791136,-0.1340882321819663,0.2231858465820551,-0.07349073234945536,-0.1964150513522327,0.0028281337581574917,-0.4546947292983532,0.036280153319239616,-0.14683324098587036,0.012745008803904057,0.036280153319239616,30.0,20.0,0.05,45.0,20.0,0.0,False,True
export_30kw_0.05,"{""export_strength_chf_per_kwh"": 0.05, ""export_stress_scale_kw"": 20.0, ""export_threshold_kw"": 30.0, ""import_strength_chf_per_kwh"": 0.0, ""import_stress_scale_kw"": 20.0, ""import_threshold_kw"": 45.0, ""tenant_penalty_exempt"": false}",26,instant_stagger_1h_10,"{""policy_id"": 26.0}",validation,8,31.071674346923828,0.033977508544921875,0.1,4,delay_13,False,False,transformer_export_peak_kw;transformer_draw_peak_kw;max_ramp_kw;curtailed_share;tenant_cost_delta_vs_fair_leg_chf_per_load_kwh;pv_only_cost_delta_vs_fair_leg_chf_per_load_kwh;pv_battery_cost_delta_vs_fair_leg_chf_per_load_kwh;large_flex_cost_delta_vs_fair_leg_chf_per_load_kwh,1.0,11.0,1.0,1.0,0.0,17.0,1000.0,0.0,10.0,1.0,0.005,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.400095462799072,58.960318088531494,0.4611235223710537,0.06475628213956952,1.070232704281807,0.05435463646426797,0.7024599388241768,3.346191853284836,13.07767629623413,0.6923825144767761,296.478307723999,0.0051213028928032145,0.31258793075858493,414.93983298151034,0.1503264175018444,-0.3654379261688484,-414.7895065640085,-6.61010002362406,-2.485192251582255,0.705148346722126,1.0,1.2866955279022818e-08,0.1503264158964157,-0.19200446736067533,-0.41808842681348324,-0.1349122878164053,0.2231858465820551,-0.07285943068563938,-0.1964150513522327,0.00441058399155736,-0.4546947292983532,0.03660630248486996,-0.14683324098587036,0.011920953169465065,0.03660630248486996,30.0,20.0,0.05,45.0,20.0,0.0,False,True
export_30kw_0.05,"{""export_strength_chf_per_kwh"": 0.05, ""export_stress_scale_kw"": 20.0, ""export_threshold_kw"": 30.0, ""import_strength_chf_per_kwh"": 0.0, ""import_stress_scale_kw"": 20.0, ""import_threshold_kw"": 45.0, ""tenant_penalty_exempt"": false}",22,instant_5,"{""policy_id"": 22.0}",validation,8,31.066822052001953,0.038829803466796875,0.1,4,delay_13,False,False,transformer_export_peak_kw;transformer_draw_peak_kw;max_ramp_kw;curtailed_share;tenant_cost_delta_vs_fair_leg_chf_per_load_kwh;pv_only_cost_delta_vs_fair_leg_chf_per_load_kwh;pv_battery_cost_delta_vs_fair_leg_chf_per_load_kwh;large_flex_cost_delta_vs_fair_leg_chf_per_load_kwh,1.0,11.0,0.0,1.0,0.0,17.0,1000.0,0.0,5.0,1.0,0.005,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.405757904052734,59.58932590484619,0.4601934626698494,0.0647135772742331,1.0705191045999527,0.05434484640136361,0.7058500424027443,3.3980832695961,13.838231086730957,0.7053150981664658,295.97017669677734,0.005831282411236316,0.3128325372191501,655.7503507423946,0.1506815535917784,-0.3670284732724639,-655.5996691888027,-5.247503789342128,-2.4680056131115817,0.7045670226216316,1.0,1.2607684340970593e-08,0.15068155527114868,-0.1928350026719272,-0.417762940749526,-0.1345038888975978,0.2231858465820551,-0.07250429131090641,-0.1964150513522327,0.003580048680305481,-0.4546947292983532,0.03693178854882717,-0.14683324098587036,0.012329352088272572,0.03693178854882717,30.0,20.0,0.05,45.0,20.0,0.0,False,True
export_30kw_0.05,"{""export_strength_chf_per_kwh"": 0.05, ""export_stress_scale_kw"": 20.0, ""export_threshold_kw"": 30.0, ""import_strength_chf_per_kwh"": 0.0, ""import_stress_scale_kw"": 20.0, ""import_threshold_kw"": 45.0, ""tenant_penalty_exempt"": false}",23,instant_10,"{""policy_id"": 23.0}",validation,8,31.049659729003906,0.05599212646484375,0.1,4,delay_13,False,False,transformer_export_peak_kw;transformer_draw_peak_kw;max_ramp_kw;curtailed_share;tenant_cost_delta_vs_fair_leg_chf_per_load_kwh;pv_only_cost_delta_vs_fair_leg_chf_per_load_kwh;pv_battery_cost_delta_vs_fair_leg_chf_per_load_kwh;large_flex_cost_delta_vs_fair_leg_chf_per_load_kwh,1.0,11.0,0.0,1.0,0.0,17.0,1000.0,0.0,10.0,1.0,0.005,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.385849952697754,59.95202016830444,0.4611235223710537,0.06443556491285563,1.0701498240232468,0.05358121846802533,0.7133114188909531,3.437301367521286,14.12057876586914,0.7012583687901497,295.4213180541992,0.006580701476195827,0.31465322227074777,413.7262097706759,0.15136618733081725,-0.3660919668126288,-413.574843583345,-6.736392364783937,-2.524216734575281,0.7100849598646164,1.0,1.2527815007601362e-08,0.1513661891222,-0.19232798228040338,-0.41688972152769566,-0.1347582209855318,0.2231858465820551,-0.07181965745985508,-0.1964150513522327,0.004087069071829319,-0.4546947292983532,0.03780500777065754,-0.14683324098587036,0.012075020000338554,0.03780500777065754,30.0,20.0,0.05,45.0,20.0,0.0,False,True
export_30kw_0.05,"{""export_strength_chf_per_kwh"": 0.05, ""export_stress_scale_kw"": 20.0, ""export_threshold_kw"": 30.0, ""import_strength_chf_per_kwh"": 0.0, ""import_stress_scale_kw"": 20.0, ""import_threshold_kw"": 45.0, ""tenant_penalty_exempt"": false}",31,instant_slow_stagger_1h,"{""policy_id"": 31.0}",validation,8,31.048032760620117,0.05761909484863281,0.1,4,delay_13,False,False,transformer_export_peak_kw;transformer_draw_peak_kw;max_ramp_kw;curtailed_share;tenant_cost_delta_vs_fair_leg_chf_per_load_kwh;pv_only_cost_delta_vs_fair_leg_chf_per_load_kwh;pv_battery_cost_delta_vs_fair_leg_chf_per_load_kwh;large_flex_cost_delta_vs_fair_leg_chf_per_load_kwh,1.0,11.0,1.0,0.5,0.0,17.0,1000.0,0.0,10.0,1.0,0.005,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.973611354827881,58.36606025695801,0.4603794738650322,0.06561028538271785,1.0697836428880692,0.0575559982098639,0.7136711180210114,3.2468832433223724,7.850706577301025,0.7602918967604637,297.9648380279541,0.0030184937440935755,0.3035961656659809,413.25514133483074,0.14610861644841433,-0.3634459210142027,-413.1090327183823,-3.258462939153514,-2.2096910297973897,0.6758133172988892,1.0,1.324178278139243e-08,0.1461086180061102,-0.19100868701934814,-0.41840431839227676,-0.13483199663460255,0.2231858465820551,-0.0770772285759449,-0.1964150513522327,0.00540636433288455,-0.4546947292983532,0.03629041090607643,-0.14683324098587036,0.012001244351267815,0.03629041090607643,30.0,20.0,0.05,45.0,20.0,0.0,False,True
