run,seed_index,policy_id,initial_energy_kwh,final_energy_kwh,energy_at_export_peak_kwh,headroom_at_export_peak_kwh,batteries_full_at_export_peak,voltage_trend_abs_mean_pu
fair_leg_family,0,4,65.07836151123047,70.244384765625,50.48291015625,107.51708984375,0,0.018701154738664627
fair_leg_family,1,4,70.68757629394531,73.1899185180664,65.19806671142578,92.80193328857422,0,0.016509976238012314
fair_leg_family,2,4,86.67808532714844,42.53512954711914,46.279296875,111.720703125,0,0.018931545317173004
fair_leg_family,3,4,93.63282012939453,73.19976806640625,52.63002395629883,105.36996459960938,0,0.018093585968017578
tariff_family,0,11,65.07836151123047,70.244384765625,80.7894515991211,77.2105484008789,3,0.014933022670447826
tariff_family,1,11,70.68757629394531,123.64022064208984,62.61637496948242,95.38362121582031,0,0.01354632992297411
tariff_family,2,11,86.67808532714844,50.64661407470703,84.57086944580078,73.42912292480469,1,0.014986170455813408
tariff_family,3,11,93.63282012939453,89.70777130126953,94.184814453125,63.815185546875,3,0.013723814859986305
voltage_family,0,17,65.07836151123047,70.244384765625,158.0,0.0,10,0.014913422986865044
voltage_family,1,17,70.68757629394531,135.6320343017578,75.58472442626953,82.415283203125,0,0.013423778116703033
voltage_family,2,17,86.67808532714844,55.114768981933594,158.0,0.0,10,0.014838092029094696
voltage_family,3,17,93.63282012939453,91.73736572265625,103.7499771118164,54.250022888183594,3,0.01364221703261137
