interval,day,day_step,hour,transformer_kw,transformer_kvar,losses_kw,voltage_max_pu,voltage_min_pu,curtailed_kw
0,0,59,14.75,-15.885353,19.49215,1.599656,1.0204856,0.99875975,7.115392
1,0,60,15.0,-17.361164,3.6025047,0.46543545,1.0285141,1.0,10.761847
2,0,61,15.25,-16.744614,3.5820007,0.43510365,1.0271336,1.0,9.351387
3,0,62,15.5,-16.91246,3.40271,0.44026086,1.0270718,1.0,8.168131
4,0,63,15.75,-16.068935,3.3869743,0.40977633,1.0265651,1.0,6.1770263
5,0,64,16.0,-15.713215,3.4332275,0.39669687,1.026166,1.0,4.573583
6,0,65,16.25,-16.136646,3.624916,0.42778113,1.0269641,1.0,2.5869398
7,0,66,16.5,-14.734745,3.5247803,0.37124845,1.0266764,1.0,0.82407
8,0,67,16.75,-11.364937,3.7732124,0.24089427,1.0198779,0.9999259,4.172325e-07
9,0,68,17.0,-7.900715,3.7879944,0.13673119,1.0143999,0.9998552,0.0
10,0,69,17.25,-3.8323402,4.0163994,0.05763839,1.0078046,0.9997554,0.0
11,0,70,17.5,0.19741058,4.348278,0.021618966,1.0006561,0.99892986,5.9604645e-08
12,0,71,17.75,2.8057098,4.4846535,0.01858831,1.0,0.9955115,0.0
13,0,72,18.0,4.280567,4.5633316,0.02592728,1.0,0.99329305,0.0
14,0,73,18.25,5.159378,4.8003197,0.033310972,1.0,0.9921811,0.0
15,0,74,18.5,4.8189163,4.8475266,0.03250598,1.0,0.9924625,0.0
16,0,75,18.75,4.562378,4.799366,0.028799579,1.0,0.9936652,0.0
17,0,76,19.0,4.889965,4.868984,0.031898323,1.0,0.99283093,0.0
18,0,77,19.25,4.9262047,4.9448013,0.033872608,1.0,0.99255615,0.0
19,0,78,19.5,5.0201416,5.0230026,0.034886856,1.0,0.9929108,0.0
20,0,79,19.75,3.8342476,4.6625137,0.026296068,1.0,0.99455726,0.0
21,0,80,20.0,4.9471855,4.7860146,0.035266493,1.0,0.99198836,0.0
22,0,81,20.25,4.041195,4.5933723,0.026772112,1.0,0.99352545,0.0
23,0,82,20.5,4.52137,4.585266,0.028566552,1.0,0.9933516,0.0
24,0,83,20.75,3.8118362,4.375458,0.023504807,1.0,0.9948201,0.0
25,0,84,21.0,4.0745735,4.2700768,0.023586938,1.0,0.99415666,0.0
26,0,85,21.25,4.6424866,4.368305,0.029172312,1.0,0.99206907,0.0
27,0,86,21.5,3.8394928,4.2324066,0.023282163,1.0,0.99463606,0.0
28,0,87,21.75,3.9691925,4.1594505,0.021588333,1.0,0.994058,0.0
29,0,88,22.0,5.1932335,4.2905807,0.03292397,1.0,0.9909379,0.0
30,0,89,22.25,6.134033,4.3377876,0.04672514,1.0,0.9877655,0.0
31,0,90,22.5,5.8259964,4.237652,0.042136483,1.0,0.9879388,0.0
32,0,91,22.75,5.5761337,4.034519,0.038478404,1.0,0.9889188,0.0
33,0,92,23.0,4.514694,3.6063194,0.02454388,1.0,0.9915677,0.0
34,0,93,23.25,4.691601,3.3903122,0.024998058,1.0,0.990845,0.0
35,0,94,23.5,4.4136047,3.2114983,0.020727787,1.0,0.9920111,0.0
36,0,95,23.75,5.066395,3.297329,0.03177885,1.0,0.98899245,0.0
37,1,0,0.0,4.24242,3.0107498,0.020102292,1.0,0.9920341,0.0
38,1,1,0.25,4.3883324,2.84338,0.020677049,1.0,0.9912939,0.0
39,1,2,0.5,4.594803,2.7031898,0.024264408,1.0,0.9902852,0.0
40,1,3,0.75,4.66156,2.6717186,0.024940666,1.0,0.98992515,0.0
41,1,4,1.0,4.132271,2.576828,0.018728206,1.0,0.99099964,0.0
42,1,5,1.25,3.8847923,2.4557114,0.013980847,1.0,0.99276304,0.0
43,1,6,1.5,3.3659935,2.263546,0.008862975,1.0,0.994342,0.0
44,1,7,1.75,3.6878586,2.2644997,0.013600577,1.0,0.99239373,0.0
45,1,8,2.0,3.6196709,2.257347,0.010572279,1.0,0.99377173,0.0
46,1,9,2.25,3.7937164,2.3021698,0.016218208,1.0,0.9915623,0.0
47,1,10,2.5,3.625393,2.316475,0.014032961,1.0,0.99250805,0.0
48,1,11,2.75,3.5114288,2.2835732,0.0132860225,1.0,0.9930039,0.0
49,1,12,3.0,3.2901764,2.2349358,0.012478282,1.0,0.992538,0.0
50,1,13,3.25,3.3979416,2.2215843,0.013354036,1.0,0.9924558,0.0
51,1,14,3.5,3.557682,2.254963,0.015880633,1.0,0.9915335,0.0
52,1,15,3.75,3.3130646,2.2568703,0.01378587,1.0,0.9926789,0.0
53,1,16,4.0,3.2644272,2.2530556,0.011870889,1.0,0.99317294,0.0
54,1,17,4.25,3.3302307,2.2349358,0.012891236,1.0,0.9928806,0.0
55,1,18,4.5,3.8022995,2.383709,0.017803414,1.0,0.99152267,0.0
56,1,19,4.75,3.6683083,2.4290085,0.015319649,1.0,0.99224186,0.0
57,1,20,5.0,3.9830208,2.5515556,0.018059902,1.0,0.99176955,0.0
58,1,21,5.25,4.333496,2.6955605,0.021630608,1.0,0.99116886,0.0
59,1,22,5.5,4.313946,2.7246475,0.0222819,1.0,0.99119306,0.0
60,1,23,5.75,4.3821335,2.8252602,0.020964973,1.0,0.9918542,0.0
61,1,24,6.0,4.3535233,2.9439926,0.022029825,1.0,0.9920178,0.0
62,1,25,6.25,4.196644,3.0779839,0.021202054,1.0,0.99223894,0.0
63,1,26,6.5,2.5196075,3.0932426,0.01128366,1.0,0.9954573,0.0
64,1,27,6.75,-0.71144104,3.066063,0.012116245,1.0012246,0.99965274,0.0
65,1,28,7.0,-4.1971207,3.0736923,0.044257496,1.0062925,0.99983823,0.0
66,1,29,7.25,-7.7934265,3.1752586,0.110262424,1.012368,0.9999021,1.1920929e-07
67,1,30,7.5,-11.339664,3.250122,0.20831393,1.0180159,0.9999673,0.0
68,1,31,7.75,-13.886929,3.3626556,0.2986628,1.022754,1.0,0.0
69,1,32,8.0,-16.374588,3.4532547,0.3968994,1.0255573,1.0,0.0
70,1,33,8.25,-18.431664,3.6010742,0.49322215,1.0284847,1.0,0.0
71,1,34,8.5,-19.151688,3.8461685,0.531333,1.029804,1.0,0.0
72,1,35,8.75,-20.41626,3.9129257,0.595466,1.031654,1.0,0.0
73,1,36,9.0,-22.064209,4.193783,0.69594455,1.0334493,1.0,0.0
74,1,37,9.25,-22.935867,4.9381256,0.7570866,1.0339129,1.0,0.0
75,1,38,9.5,-23.842812,5.42593,0.8175641,1.0350211,1.0,0.13709211
76,1,39,9.75,-24.10984,5.943775,0.84125835,1.0353637,1.0,0.58777857
77,1,40,10.0,-25.101185,5.965233,0.90176076,1.0365303,1.0,1.332591
78,1,41,10.25,-26.020527,6.7682266,0.9970698,1.0378041,0.9999815,1.4940653
79,1,42,10.5,-25.79689,7.958889,1.0073632,1.0362253,0.9998817,1.5750465
80,1,43,10.75,-26.290894,6.8044662,1.0094284,1.0380551,0.99998397,3.565267
81,1,44,11.0,-26.679516,8.529186,1.0924525,1.0378119,0.9998539,5.3186727
82,1,45,11.25,-8.985043,7.44915,0.20506501,1.009947,0.9981634,5.4908967
83,1,46,11.5,-11.124134,4.038334,0.17852166,1.0136325,0.9998999,11.068951
84,1,47,11.75,-15.313625,4.0774345,0.34503314,1.0239993,0.999981,11.55048
85,1,48,12.0,-14.697552,4.1794777,0.319015,1.0226315,0.9999604,15.348472
86,1,49,12.25,-15.550137,4.0302277,0.34585035,1.0234722,0.9999894,14.453787
87,1,50,12.5,-17.060757,4.163742,0.43362215,1.0273811,1.0,13.986826
88,1,51,12.75,-20.533562,4.02689,0.59627205,1.0317923,1.0,14.660475
89,1,52,13.0,-22.331715,4.275799,0.7220786,1.0377353,1.0,14.487389
90,1,53,13.25,-25.201797,6.0510635,0.9537432,1.0390612,1.0,13.248202
91,1,54,13.5,-25.058746,8.358479,0.9984218,1.0389786,0.9998349,12.668449
92,1,55,13.75,-24.740696,6.966114,0.94839185,1.0383451,0.99993974,11.759609
93,1,56,14.0,-24.19424,7.229805,0.91178507,1.0390984,0.9999077,10.768821
94,1,57,14.25,-23.875713,6.4764023,0.86938053,1.0389018,0.9999615,9.33226
95,1,58,14.5,-23.167133,6.3552856,0.8296389,1.0390453,0.99995685,7.9856668
96,1,59,14.75,-22.260666,6.154537,0.7701786,1.0364377,0.99995464,6.924833
97,1,60,15.0,-22.10331,5.2757263,0.7435442,1.0390447,1.0,4.8889627
98,1,61,15.25,-21.74759,6.0625076,0.7506516,1.037683,0.9999517,3.1645055
99,1,62,15.5,-20.378113,5.4545403,0.6610376,1.0352829,0.9999727,2.2129745
100,1,63,15.75,-18.755913,4.4903755,0.54443765,1.0321568,1.0,1.3732517
101,1,64,16.0,-16.865253,3.6296844,0.44296658,1.0284582,1.0,0.37348986
102,1,65,16.25,-14.231682,3.3869743,0.3303187,1.023738,1.0,0.0
103,1,66,16.5,-11.508465,3.5281181,0.2317836,1.0195293,0.9999484,0.0
104,1,67,16.75,-8.617878,3.3745766,0.1413962,1.0147359,0.99990267,0.0
105,1,68,17.0,-5.012989,3.508091,0.064617835,1.0082722,0.9998197,0.0
106,1,69,17.25,-1.3384819,3.6883354,0.02241775,1.0020188,0.9997317,5.9604645e-08
107,1,70,17.5,2.2974014,3.9038658,0.017613841,1.0,0.99385226,5.9604645e-08
108,1,71,17.75,4.529476,3.85046,0.028830916,1.0,0.9902092,0.0
109,1,72,18.0,7.2426796,4.1828156,0.06319627,1.0,0.98470545,0.0
110,1,73,18.25,8.191586,4.5642853,0.08183556,1.0,0.982904,0.0
111,1,74,18.5,7.4682236,4.507065,0.06659652,1.0,0.98517084,0.0
