interval,day,day_step,hour,connection,household,distance_rank,has_inverter,p_grid_kw,q_grid_kvar,settlement_chf,voltage_pu,p_inv_set_kw,pv_available_kw,pv_realized_kw,run
0,0,59,14.75,0,tenant,0,False,-0.47346637,-0.15562089,-0.010062844,0.998967,,,,reverse_flow_charge/tuned_family
0,0,59,14.75,1,tenant,1,False,-0.41648266,-0.13689125,-0.006662911,1.0035067,,,,reverse_flow_charge/tuned_family
0,0,59,14.75,2,tenant,2,False,-0.29962137,-0.0984808,0.0003096182,1.0082376,,,,reverse_flow_charge/tuned_family
0,0,59,14.75,3,tenant,3,False,-0.3068704,-0.100863434,-0.00012289546,1.0124738,,,,reverse_flow_charge/tuned_family
0,0,59,14.75,4,tenant,4,False,-0.27605242,-0.09073406,0.0017158594,1.0178949,,,,reverse_flow_charge/tuned_family
0,0,59,14.75,5,tenant,5,False,-0.18210939,-0.05985647,0.0073209703,1.0234052,,,,reverse_flow_charge/tuned_family
0,0,59,14.75,6,pv_only,7,True,1.8965223,-0.07504803,0.06414564,1.0269766,2.1248509883880615,2.1248509883880615,2.1248509883880615,reverse_flow_charge/tuned_family
0,0,59,14.75,7,pv_battery,8,True,0.0,-0.24812977,0.018186526,1.0301032,0.7549185752868652,0.1808290034532547,0.1808290034532547,reverse_flow_charge/tuned_family
0,0,59,14.75,8,pv_battery,10,True,2.0942607,-0.14470424,0.06893751,1.0332643,2.5345139503479004,4.357293128967285,4.357293128967285,reverse_flow_charge/tuned_family
0,0,59,14.75,9,pv_battery,12,True,0.44175386,-0.21312279,0.028891709,1.0350393,1.0901659727096558,1.249765396118164,1.249765396118164,reverse_flow_charge/tuned_family
0,0,59,14.75,10,pv_only,6,True,2.7198415,-0.15257877,0.08409744,1.0111228,3.1840524673461914,3.1840524673461914,3.1840524673461914,reverse_flow_charge/tuned_family
0,0,59,14.75,11,pv_battery,9,True,0.06647521,-0.56343627,0.019797444,1.0160385,0.7879602313041687,1.5131882429122925,1.5131882429122925,reverse_flow_charge/tuned_family
0,0,59,14.75,12,large_flex,14,True,5.405204,-4.454248,0.14917281,1.0200349,7.063251495361328,10.185088157653809,10.185088157653809,reverse_flow_charge/tuned_family
0,0,59,14.75,13,large_flex,16,True,-0.7003164,-5.970038,-0.023597853,1.0182413,0.22296583652496338,0.19596564769744873,0.19596564769744873,reverse_flow_charge/tuned_family
0,0,59,14.75,14,large_flex,17,True,0.5966882,-5.9915686,0.03264629,1.0182039,1.5854759216308594,3.76037335395813,3.76037335395813,reverse_flow_charge/tuned_family
0,0,59,14.75,15,pv_battery,11,True,8.383108,-0.13031621,0.22133748,1.0321548,8.779586791992188,9.276124954223633,9.276124954223633,reverse_flow_charge/tuned_family
0,0,59,14.75,16,pv_battery,13,True,3.8418589,-0.13563436,0.1112877,1.0372474,4.254517555236816,4.254517555236816,4.254517555236816,reverse_flow_charge/tuned_family
0,0,59,14.75,17,large_flex,15,True,7.290036,-0.31773657,0.19484864,1.0425498,8.256729125976562,8.256729125976562,8.256729125976562,reverse_flow_charge/tuned_family
1,0,60,15.0,0,tenant,0,False,-0.46904138,-0.15416646,-0.010478299,0.99994457,,,,reverse_flow_charge/tuned_family
1,0,60,15.0,1,tenant,1,False,-0.43650362,-0.14347182,-0.008536933,1.0060267,,,,reverse_flow_charge/tuned_family
1,0,60,15.0,2,tenant,2,False,-0.31127813,-0.10231219,-0.0010653548,1.0122641,,,,reverse_flow_charge/tuned_family
1,0,60,15.0,3,tenant,3,False,-0.26945212,-0.08856464,0.001430193,1.0180353,,,,reverse_flow_charge/tuned_family
1,0,60,15.0,4,tenant,4,False,-0.30561358,-0.10045034,-0.0007273797,1.0221741,,,,reverse_flow_charge/tuned_family
1,0,60,15.0,5,tenant,5,False,-0.20375803,-0.06697203,0.0053498317,1.0264132,,,,reverse_flow_charge/tuned_family
1,0,60,15.0,6,pv_only,7,True,1.5860915,-0.08395647,0.055920403,1.0289471,1.8415236473083496,1.8415236473083496,1.8415236473083496,reverse_flow_charge/tuned_family
1,0,60,15.0,7,pv_battery,8,True,-0.30103207,-0.24422586,-0.00045402348,1.0311157,0.4077823758125305,0.38944825530052185,0.38944825530052185,reverse_flow_charge/tuned_family
1,0,60,15.0,8,pv_battery,10,True,1.599581,-0.47907102,0.0562471,1.0333925,1.9748711585998535,4.231226921081543,4.231226921081543,reverse_flow_charge/tuned_family
1,0,60,15.0,9,pv_battery,12,True,0.0,-0.7423747,0.017507054,1.034628,0.5878804922103882,1.1859190464019775,1.1859190464019775,reverse_flow_charge/tuned_family
1,0,60,15.0,10,pv_only,6,True,2.4617987,-0.15267804,0.077129036,1.0148643,2.926311492919922,2.926311731338501,2.926311492919922,reverse_flow_charge/tuned_family
1,0,60,15.0,11,pv_battery,9,True,0.24985504,-0.2289797,0.02355826,1.0275164,0.9465107917785645,1.5164248943328857,1.5164248943328857,reverse_flow_charge/tuned_family
1,0,60,15.0,12,large_flex,14,True,6.7718253,-0.55967224,0.18151304,1.0367256,8.474591255187988,9.662683486938477,9.662683486938477,reverse_flow_charge/tuned_family
1,0,60,15.0,13,large_flex,16,True,-0.18241286,-0.28598616,0.006623391,1.0377856,0.6876813173294067,0.04664638638496399,0.04664638638496399,reverse_flow_charge/tuned_family
1,0,60,15.0,14,large_flex,17,True,1.1181878,-0.30976263,0.044588305,1.0389136,2.0606203079223633,3.540195941925049,3.540195941925049,reverse_flow_charge/tuned_family
1,0,60,15.0,15,pv_battery,11,True,7.5897293,-0.3741477,0.20132175,1.0342891,8.013635635375977,8.565431594848633,8.565431594848633,reverse_flow_charge/tuned_family
1,0,60,15.0,16,pv_battery,13,True,3.481745,-0.90682757,0.101831,1.0369173,3.8378825187683105,3.8378825187683105,3.8378825187683105,reverse_flow_charge/tuned_family
1,0,60,15.0,17,large_flex,15,True,6.6538796,-2.0740333,0.17865652,1.0412967,7.554951190948486,7.554951190948486,7.554951190948486,reverse_flow_charge/tuned_family
2,0,61,15.25,0,tenant,0,False,-0.4911433,-0.16143101,-0.012621617,0.99964213,,,,reverse_flow_charge/tuned_family
2,0,61,15.25,1,tenant,1,False,-0.46037424,-0.15131772,-0.010785783,1.0049043,,,,reverse_flow_charge/tuned_family
2,0,61,15.25,2,tenant,2,False,-0.34883222,-0.11465562,-0.004130628,1.0103353,,,,reverse_flow_charge/tuned_family
2,0,61,15.25,3,tenant,3,False,-0.27644008,-0.09086148,0.0001886487,1.0153273,,,,reverse_flow_charge/tuned_family
2,0,61,15.25,4,tenant,4,False,-0.25982472,-0.08540027,0.0011800043,1.0192184,,,,reverse_flow_charge/tuned_family
2,0,61,15.25,5,tenant,5,False,-0.15278038,-0.050216492,0.007566805,1.0231962,,,,reverse_flow_charge/tuned_family
2,0,61,15.25,6,pv_only,7,True,1.4197258,-0.10285317,0.05115567,1.0254455,1.732649803161621,1.732649803161621,1.732649803161621,reverse_flow_charge/tuned_family
2,0,61,15.25,7,pv_battery,8,True,-0.3111565,-0.33352226,-0.0018827058,1.0273695,0.3336695432662964,0.281714528799057,0.281714528799057,reverse_flow_charge/tuned_family
2,0,61,15.25,8,pv_battery,10,True,1.3473074,-0.5102331,0.049397238,1.0294151,1.7748799324035645,3.785539150238037,3.785539150238037,reverse_flow_charge/tuned_family
2,0,61,15.25,9,pv_battery,12,True,0.0,-0.70593584,0.016682446,1.0305356,0.6133711338043213,1.1489648818969727,1.1489648818969727,reverse_flow_charge/tuned_family
2,0,61,15.25,10,pv_only,6,True,2.4183211,-0.15262067,0.07540317,1.0128944,2.882659435272217,2.882659435272217,2.882659435272217,reverse_flow_charge/tuned_family
2,0,61,15.25,11,pv_battery,9,True,0.11117005,-0.24001956,0.019381834,1.0238074,0.8414138555526733,1.5025044679641724,1.5025044679641724,reverse_flow_charge/tuned_family
