interval,day,day_step,hour,transformer_kw,transformer_kvar,losses_kw,voltage_max_pu,voltage_min_pu,curtailed_kw
0,0,59,14.75,-29.693127,19.9399,2.5175917,1.043655,0.9990026,0.0
1,0,60,15.0,-29.319286,8.554459,1.3757045,1.0428027,0.9999052,2.3841858e-07
2,0,61,15.25,-27.945995,13.007164,1.4221258,1.0374737,0.9995215,0.0
3,0,62,15.5,-26.812553,8.099556,1.1698645,1.0391272,0.999891,0.0
4,0,63,15.75,-24.49131,9.726524,1.0562688,1.0343713,0.999714,0.0
5,0,64,16.0,-22.35508,5.716324,0.8047861,1.0338564,0.99999154,0.0
6,0,65,16.25,-19.129753,5.1932335,0.5982793,1.0288974,0.99996847,0.0
7,0,66,16.5,-15.621185,3.5390854,0.40291855,1.0245996,1.0,0.0
8,0,67,16.75,-11.507034,3.7755966,0.24280721,1.0186208,0.99992853,4.172325e-07
9,0,68,17.0,-7.973671,3.7903786,0.13604668,1.0130241,0.9998565,0.0
10,0,69,17.25,-4.2304993,4.020214,0.062141683,1.0073558,0.9997631,0.0
11,0,70,17.5,-0.016212463,4.348755,0.022458902,1.0008751,0.99909294,0.0
12,0,71,17.75,2.7208328,4.4822693,0.019693034,1.0,0.9956617,0.0
13,0,72,18.0,4.219532,4.562378,0.02602647,1.0,0.9937927,0.0
14,0,73,18.25,4.6725273,4.798889,0.030642726,1.0,0.99310476,0.0
15,0,74,18.5,4.6725273,4.798889,0.029861571,1.0,0.99310476,0.0
16,0,75,18.75,4.685402,4.799843,0.030979846,1.0,0.992983,0.0
17,0,76,19.0,4.684925,4.798889,0.030492323,1.0,0.992983,0.0
18,0,77,19.25,4.7831535,4.9443245,0.031838138,1.0,0.9928862,0.0
19,0,78,19.5,4.7826767,4.9438477,0.03266539,1.0,0.99288625,0.0
20,0,79,19.75,4.5814514,4.6653748,0.030110942,1.0,0.9930635,0.0
21,0,80,20.0,4.5809746,4.664898,0.0301755,1.0,0.99306357,0.0
22,0,81,20.25,4.553795,4.5962334,0.029730916,1.0,0.99307644,0.0
23,0,82,20.5,4.553795,4.5952797,0.029222589,1.0,0.99307644,0.0
24,0,83,20.75,4.397869,4.3768883,0.027131587,1.0,0.99357367,0.0
25,0,84,21.0,4.397869,4.3768883,0.026326478,1.0,0.99357367,0.0
26,0,85,21.25,4.2409897,4.366398,0.025219932,1.0,0.9934959,0.0
27,0,86,21.5,4.1952133,4.233837,0.02410324,1.0,0.9937803,0.0
28,0,87,21.75,4.1484833,4.161358,0.022826988,1.0,0.993981,0.0
29,0,88,22.0,5.903721,4.2920113,0.042703576,1.0,0.98835945,0.0
30,0,89,22.25,5.903721,4.2920113,0.043257162,1.0,0.98835945,0.0
