interval,day,day_step,hour,connection,household,distance_rank,has_inverter,p_grid_kw,q_grid_kvar,settlement_chf,voltage_pu,p_inv_set_kw,pv_available_kw,pv_realized_kw,run
0,0,59,14.75,0,tenant,0,False,-0.47346637,-0.15562089,-0.02824937,0.9988862,,,,staggered_class_tou/voltage_off_matched
0,0,59,14.75,1,tenant,1,False,-0.41648266,-0.13689125,-0.024849437,1.0022789,,,,staggered_class_tou/voltage_off_matched
0,0,59,14.75,2,tenant,2,False,-0.29962137,-0.0984808,-0.017876908,1.0058532,,,,staggered_class_tou/voltage_off_matched
0,0,59,14.75,3,tenant,3,False,-0.3068704,-0.100863434,-0.018309422,1.0089219,,,,staggered_class_tou/voltage_off_matched
0,0,59,14.75,4,tenant,4,False,-0.27605242,-0.09073406,-0.016470667,1.0136402,,,,staggered_class_tou/voltage_off_matched
0,0,59,14.75,5,tenant,5,False,-0.18210939,-0.05985647,-0.010865556,1.0184456,,,,staggered_class_tou/voltage_off_matched
0,0,59,14.75,6,pv_only,7,True,1.8965223,-0.07504803,0.064824775,1.0214332,2.1248509883880615,2.1248509883880615,2.1248509883880615,staggered_class_tou/voltage_off_matched
0,0,59,14.75,7,pv_battery,8,True,0.0,-0.24812977,0.0,1.0239725,0.7549185752868652,0.1808290034532547,0.1808290034532547,staggered_class_tou/voltage_off_matched
0,0,59,14.75,8,pv_battery,10,True,0.014233589,-0.14470424,0.00048651642,1.026545,0.45448675751686096,4.357293128967285,4.357293128967285,staggered_class_tou/voltage_off_matched
0,0,59,14.75,9,pv_battery,12,True,0.0010962486,-0.21312279,3.747073e-05,1.0282252,0.6495083570480347,1.249765396118164,1.249765396118164,staggered_class_tou/voltage_off_matched
0,0,59,14.75,10,pv_only,6,True,2.7198415,-0.15257877,0.092966534,1.0087452,3.1840524673461914,3.1840524673461914,3.1840524673461914,staggered_class_tou/voltage_off_matched
0,0,59,14.75,11,pv_battery,9,True,0.0011326075,-0.56343627,3.8713504e-05,1.0101287,0.7226176261901855,1.5131882429122925,1.5131882429122925,staggered_class_tou/voltage_off_matched
0,0,59,14.75,12,large_flex,14,True,3.4352744,-4.454248,0.11742066,1.0118454,5.093321800231934,10.185088157653809,10.185088157653809,staggered_class_tou/voltage_off_matched
0,0,59,14.75,13,large_flex,16,True,0.0,-5.970038,0.0,1.0101727,0.923282265663147,0.19596564769744873,0.19596564769744873,staggered_class_tou/voltage_off_matched
0,0,59,14.75,14,large_flex,17,True,0.004727304,-5.9915686,0.00016158336,1.0095038,0.9935150742530823,3.76037335395813,3.76037335395813,staggered_class_tou/voltage_off_matched
0,0,59,14.75,15,pv_battery,11,True,7.8324966,-0.13031621,0.26772153,1.0266631,8.228975296020508,9.276124954223633,9.276124954223633,staggered_class_tou/voltage_off_matched
0,0,59,14.75,16,pv_battery,13,True,3.8418589,-0.13563436,0.13131806,1.0305537,4.254517555236816,4.254517555236816,4.254517555236816,staggered_class_tou/voltage_off_matched
0,0,59,14.75,17,large_flex,15,True,7.290036,-0.31773657,0.24917977,1.0357846,8.256729125976562,8.256729125976562,8.256729125976562,staggered_class_tou/voltage_off_matched
1,0,60,15.0,0,tenant,0,False,-0.46904138,-0.15416646,-0.015656834,1.0001637,,,,staggered_class_tou/voltage_off_matched
1,0,60,15.0,1,tenant,1,False,-0.43650362,-0.14347182,-0.013715468,1.0064516,,,,staggered_class_tou/voltage_off_matched
