interval,day,day_step,hour,connection,household,distance_rank,has_inverter,p_grid_kw,q_grid_kvar,settlement_chf,voltage_pu,p_inv_set_kw,pv_available_kw,pv_realized_kw,run
0,0,59,14.75,0,tenant,0,False,-0.47346637,-0.15562089,-0.02824937,0.9988783,,,,stress_bidirectional/voltage_family
0,0,59,14.75,1,tenant,1,False,-0.41648266,-0.13689125,-0.024849437,1.0021672,,,,stress_bidirectional/voltage_family
0,0,59,14.75,2,tenant,2,False,-0.29962137,-0.0984808,-0.017876908,1.0056367,,,,stress_bidirectional/voltage_family
0,0,59,14.75,3,tenant,3,False,-0.3068704,-0.100863434,-0.018309422,1.0085998,,,,stress_bidirectional/voltage_family
0,0,59,14.75,4,tenant,4,False,-0.27605242,-0.09073406,-0.016470667,1.0133864,,,,stress_bidirectional/voltage_family
0,0,59,14.75,5,tenant,5,False,-0.18210939,-0.05985647,-0.010865556,1.0182604,,,,stress_bidirectional/voltage_family
0,0,59,14.75,6,pv_only,7,True,1.8965223,-0.07504803,0.06510652,1.0213099,2.1248509883880615,2.1248509883880615,2.1248509883880615,stress_bidirectional/voltage_family
0,0,59,14.75,7,pv_battery,8,True,0.0,-0.24812977,0.0,1.0239111,0.7549185752868652,0.1808290034532547,0.1808290034532547,stress_bidirectional/voltage_family
0,0,59,14.75,8,pv_battery,10,True,0.1321921,-0.14470424,0.0045380783,1.0265458,0.572445273399353,4.357293128967285,4.357293128967285,stress_bidirectional/voltage_family
0,0,59,14.75,9,pv_battery,12,True,0.14107704,-0.21312279,0.0048430935,1.0282598,0.7894891500473022,1.249765396118164,1.249765396118164,stress_bidirectional/voltage_family
0,0,59,14.75,10,pv_only,6,True,2.7198415,-0.15257877,0.09337059,1.0085294,3.1840524673461914,3.1840524673461914,3.1840524673461914,stress_bidirectional/voltage_family
0,0,59,14.75,11,pv_battery,9,True,0.0,-0.56343627,0.0,1.0089244,0.7214850187301636,1.5131882429122925,1.5131882429122925,stress_bidirectional/voltage_family
0,0,59,14.75,12,large_flex,14,True,3.4280112,-4.454248,0.117681645,1.0097574,5.086058616638184,10.185088157653809,10.185088157653809,stress_bidirectional/voltage_family
0,0,59,14.75,13,large_flex,16,True,-0.7003164,-5.970038,-0.04178438,1.007201,0.22296583652496338,0.19596564769744873,0.19596564769744873,stress_bidirectional/voltage_family
0,0,59,14.75,14,large_flex,17,True,0.0,-5.9915686,0.0,1.0065254,0.9887877106666565,3.76037335395813,3.76037335395813,stress_bidirectional/voltage_family
0,0,59,14.75,15,pv_battery,11,True,7.8593054,-0.13031621,0.26980543,1.0265073,8.255784034729004,9.276124954223633,9.276124954223633,stress_bidirectional/voltage_family
0,0,59,14.75,16,pv_battery,13,True,3.8418589,-0.13563436,0.13188879,1.0305545,4.254517555236816,4.254517555236816,4.254517555236816,stress_bidirectional/voltage_family
0,0,59,14.75,17,large_flex,15,True,7.290036,-0.31773657,0.25026274,1.0358188,8.256729125976562,8.256729125976562,8.256729125976562,stress_bidirectional/voltage_family
1,0,60,15.0,0,tenant,0,False,-0.46904138,-0.15416646,-0.027985353,1.0001578,,,,stress_bidirectional/voltage_family
1,0,60,15.0,1,tenant,1,False,-0.43650362,-0.14347182,-0.026043987,1.0063668,,,,stress_bidirectional/voltage_family
1,0,60,15.0,2,tenant,2,False,-0.31127813,-0.10231219,-0.018572409,1.0127227,,,,stress_bidirectional/voltage_family
1,0,60,15.0,3,tenant,3,False,-0.26945212,-0.08856464,-0.016076861,1.0186046,,,,stress_bidirectional/voltage_family
1,0,60,15.0,4,tenant,4,False,-0.30561358,-0.10045034,-0.018234434,1.022865,,,,stress_bidirectional/voltage_family
1,0,60,15.0,5,tenant,5,False,-0.20375803,-0.06697203,-0.012157222,1.0272205,,,,stress_bidirectional/voltage_family
1,0,60,15.0,6,pv_only,7,True,1.5860915,-0.08395647,0.054251287,1.0297139,1.8415236473083496,1.8415236473083496,1.8415236473083496,stress_bidirectional/voltage_family
1,0,60,15.0,7,pv_battery,8,True,-0.23911119,-0.23297608,-0.014266568,1.0318388,0.4697032570838928,0.38944825530052185,0.38944825530052185,stress_bidirectional/voltage_family
1,0,60,15.0,8,pv_battery,10,True,0.0,-0.12335195,0.0,1.0340525,0.3752902150154114,4.231226921081543,4.231226921081543,stress_bidirectional/voltage_family
1,0,60,15.0,9,pv_battery,12,True,0.0,-0.19322701,0.0,1.035473,0.5878804922103882,1.1859190464019775,1.1859190464019775,stress_bidirectional/voltage_family
1,0,60,15.0,10,pv_only,6,True,2.4617987,-0.15267804,0.08420431,1.0153219,2.926311492919922,2.926311731338501,2.926311492919922,stress_bidirectional/voltage_family
1,0,60,15.0,11,pv_battery,9,True,0.0,-0.2289797,0.0,1.027997,0.6966557502746582,1.5164248943328857,1.5164248943328857,stress_bidirectional/voltage_family
1,0,60,15.0,12,large_flex,14,True,7.9599175,-0.55967224,0.2722641,1.0374233,9.662683486938477,9.662683486938477,9.662683486938477,stress_bidirectional/voltage_family
