interval,day,day_step,hour,transformer_kw,transformer_kvar,losses_kw,voltage_max_pu,voltage_min_pu,curtailed_kw
0,0,59,14.75,-7.9512596,19.350529,1.3198736,1.0064133,0.9923451,15.334879
1,0,60,15.0,-9.778976,3.4575462,0.15807897,1.0153095,0.99991935,18.649172
2,0,61,15.25,-9.3503,3.4470558,0.1463755,1.0142276,0.99991155,17.035347
3,0,62,15.5,-9.782791,3.2672882,0.1544361,1.0145001,0.9999346,15.584005
4,0,63,15.75,-9.162903,3.2596588,0.13903761,1.0140287,0.9999228,13.3541355
5,0,64,16.0,-8.957386,3.3106804,0.1372816,1.0139351,0.99991465,11.588242
6,0,65,16.25,-9.706497,3.508091,0.16708067,1.0172707,0.9999138,9.277678
7,0,66,16.5,-9.553432,3.4394264,0.17028186,1.0179182,0.9999162,6.2039194
8,0,67,16.75,-7.630825,3.7269592,0.12525381,1.0139033,0.99985474,3.839203
9,0,68,17.0,-6.9036484,3.7827492,0.11328794,1.0134921,0.99983567,1.0067933
10,0,69,17.25,-3.624916,4.0183067,0.05519274,1.0076431,0.9997511,0.20363021
11,0,70,17.5,0.1988411,4.348755,0.02213256,1.0006521,0.998928,5.9604645e-08
12,0,71,17.75,2.8057098,4.4837,0.019803207,1.0,0.9955109,0.0
13,0,72,18.0,4.280567,4.5633316,0.025528148,1.0,0.99329203,0.0
14,0,73,18.25,5.159855,4.8007965,0.032479495,1.0,0.992181,0.0
15,0,74,18.5,4.820347,4.8480034,0.03156362,1.0,0.992462,0.0
16,0,75,18.75,4.5609474,4.798889,0.029193616,1.0,0.993665,0.0
17,0,76,19.0,4.889965,4.8680305,0.03198612,1.0,0.99283123,0.0
18,0,77,19.25,4.9266815,4.945278,0.033105426,1.0,0.99255556,0.0
19,0,78,19.5,5.0206184,5.021572,0.035108402,1.0,0.9929112,0.0
20,0,79,19.75,3.833294,4.662037,0.026442634,1.0,0.9945578,0.0
21,0,80,20.0,4.9467087,4.786968,0.034558296,1.0,0.9919881,0.0
22,0,81,20.25,4.041195,4.5928955,0.027789643,1.0,0.99352676,0.0
23,0,82,20.5,4.5204163,4.5843124,0.028949536,1.0,0.99335235,0.0
24,0,83,20.75,3.812313,4.374981,0.022981346,1.0,0.99481916,0.0
25,0,84,21.0,4.07362,4.2700768,0.023508372,1.0,0.9941571,0.0
26,0,85,21.25,4.6434402,4.3668747,0.029889256,1.0,0.9920699,0.0
27,0,86,21.5,3.8394928,4.2333603,0.02179206,1.0,0.9946351,0.0
28,0,87,21.75,3.9682388,4.160404,0.02207399,1.0,0.9940585,0.0
