interval,day,day_step,hour,transformer_kw,transformer_kvar,losses_kw,voltage_max_pu,voltage_min_pu,curtailed_kw
0,0,59,14.75,-8.657932,19.35625,1.3307548,1.0070764,0.9950679,15.111062
1,0,60,15.0,-9.448528,3.452301,0.14901976,1.0146322,0.99991316,18.698866
2,0,61,15.25,-9.286404,3.446579,0.14608191,1.014434,0.99991035,16.983204
3,0,62,15.5,-9.286404,3.446579,0.14601578,1.014434,0.99991035,15.679587
4,0,63,15.75,-9.286404,3.446579,0.14601578,1.014434,0.99991035,13.435715
5,0,64,16.0,-9.186745,3.3130646,0.14262927,1.0143133,0.999919,11.494223
6,0,65,16.25,-10.019302,3.5119057,0.17502718,1.017294,0.9999198,9.093267
7,0,66,16.5,-9.391308,3.4384727,0.16513537,1.0174032,0.9999131,6.327537
8,0,67,16.75,-8.12912,3.733158,0.13791618,1.0149865,0.9998643,3.351684
9,0,68,17.0,-6.9937706,3.7837029,0.11509121,1.0134981,0.9998374,0.9620373
10,0,69,17.25,-4.3239594,4.0254593,0.06689364,1.0093668,0.9997645,0.04488182
11,0,70,17.5,-0.18882751,4.348278,0.023287198,1.0014515,0.9992245,5.9604645e-08
12,0,71,17.75,2.6006699,4.482746,0.019654224,1.0,0.99575394,0.0
13,0,72,18.0,4.2181015,4.5638084,0.024277331,1.0,0.99379206,0.0
14,0,73,18.25,4.6725273,4.7979355,0.030048782,1.0,0.9931048,0.0
15,0,74,18.5,4.6725273,4.7979355,0.03011769,1.0,0.99310476,0.0
16,0,75,18.75,4.6834946,4.8003197,0.030039683,1.0,0.99298406,0.0
17,0,76,19.0,4.6830177,4.8007965,0.030159,1.0,0.99298406,0.0
18,0,77,19.25,4.7822,4.945278,0.031965137,1.0,0.9928858,0.0
19,0,78,19.5,4.781723,4.945755,0.03171437,1.0,0.9928858,0.0
20,0,79,19.75,4.5809746,4.664898,0.030667711,1.0,0.9930643,0.0
21,0,80,20.0,4.5809746,4.664898,0.029779337,1.0,0.9930643,0.0
22,0,81,20.25,4.553795,4.5952797,0.02972263,1.0,0.99307734,0.0
23,0,82,20.5,4.553318,4.594803,0.030343749,1.0,0.9930773,0.0
24,0,83,20.75,4.3959618,4.377842,0.026357768,1.0,0.9935735,0.0
25,0,84,21.0,4.3959618,4.3768883,0.026679402,1.0,0.9935735,0.0
26,0,85,21.25,4.2409897,4.365444,0.025987435,1.0,0.9934958,0.0
27,0,86,21.5,4.1947365,4.234314,0.02436453,1.0,0.99378014,0.0
28,0,87,21.75,4.14896,4.1599274,0.0226979,1.0,0.993981,0.0
29,0,88,22.0,5.903721,4.2920113,0.042969447,1.0,0.98835933,0.0
30,0,89,22.25,5.903721,4.2920113,0.043064777,1.0,0.98835933,0.0
31,0,90,22.5,6.1941147,4.239559,0.04377669,1.0,0.9882573,0.0
32,0,91,22.75,6.1941147,4.2409897,0.044711407,1.0,0.9882573,0.0
33,0,92,23.0,5.3601265,3.6101341,0.03286425,1.0,0.98938125,0.0
