interval,day,day_step,hour,transformer_kw,transformer_kvar,losses_kw,voltage_max_pu,voltage_min_pu,curtailed_kw
0,0,59,14.75,-16.36076,19.500732,1.6162217,1.0209126,0.9987686,7.1213503
1,0,60,15.0,-17.09032,3.5948753,0.45083696,1.0279589,1.0,10.750676
2,0,61,15.25,-16.6502,3.5820007,0.43204403,1.0272715,1.0,9.333691
3,0,62,15.5,-16.503334,3.3955574,0.4237108,1.0270942,1.0,8.225525
4,0,63,15.75,-16.133308,3.3888817,0.41420013,1.0268285,1.0,6.2888613
5,0,64,16.0,-15.955925,3.437519,0.40802896,1.0265741,1.0,4.4590096
6,0,65,16.25,-16.426563,3.6330223,0.43985993,1.0269709,1.0,2.421475
7,0,66,16.5,-14.697075,3.5238266,0.36887196,1.0262606,1.0,0.8220968
8,0,67,16.75,-11.39164,3.7732124,0.2411774,1.0195898,0.9999265,4.172325e-07
9,0,68,17.0,-7.946968,3.7884712,0.13742363,1.0142335,0.99985605,0.0
10,0,69,17.25,-4.374981,4.0221214,0.06791111,1.0094076,0.9997658,0.0
11,0,70,17.5,-0.18787384,4.3473244,0.023807952,1.0014518,0.9992246,5.9604645e-08
12,0,71,17.75,2.6021004,4.483223,0.018712526,1.0,0.995753,0.0
13,0,72,18.0,4.2185783,4.5642853,0.024957517,1.0,0.9937928,0.0
14,0,73,18.25,4.6715736,4.7979355,0.0296873,1.0,0.993105,0.0
15,0,74,18.5,4.671097,4.7974586,0.030254155,1.0,0.993105,0.0
16,0,75,18.75,4.6834946,4.8003197,0.030003373,1.0,0.9929839,0.0
17,0,76,19.0,4.6830177,4.8007965,0.029988557,1.0,0.99298394,0.0
18,0,77,19.25,4.781723,4.9448013,0.031915832,1.0,0.9928868,0.0
19,0,78,19.5,4.781723,4.9448013,0.032397565,1.0,0.9928868,0.0
20,0,79,19.75,4.5809746,4.664898,0.02963957,1.0,0.99306446,0.0
21,0,80,20.0,4.5809746,4.664898,0.029619405,1.0,0.99306446,0.0
22,0,81,20.25,4.553795,4.5962334,0.029850576,1.0,0.9930774,0.0
23,0,82,20.5,4.553795,4.5952797,0.029869312,1.0,0.9930774,0.0
24,0,83,20.75,4.397869,4.3768883,0.026465833,1.0,0.9935736,0.0
