interval,day,day_step,hour,connection,household,distance_rank,has_inverter,p_grid_kw,q_grid_kvar,settlement_chf,voltage_pu,p_inv_set_kw,pv_available_kw,pv_realized_kw,run
0,0,59,14.75,0,tenant,0,False,-0.47346637,-0.15562089,-0.02824937,0.99875975,,,,stress_funds_tenant_floor/tuned_base
0,0,59,14.75,1,tenant,1,False,-0.41648266,-0.13689125,-0.024849437,1.000389,,,,stress_funds_tenant_floor/tuned_base
0,0,59,14.75,2,tenant,2,False,-0.29962137,-0.0984808,-0.017876908,1.0021862,,,,stress_funds_tenant_floor/tuned_base
0,0,59,14.75,3,tenant,3,False,-0.3068704,-0.100863434,-0.018309422,1.0034629,,,,stress_funds_tenant_floor/tuned_base
0,0,59,14.75,4,tenant,4,False,-0.27605242,-0.09073406,-0.016470667,1.006503,,,,stress_funds_tenant_floor/tuned_base
0,0,59,14.75,5,tenant,5,False,-0.18210939,-0.05985647,-0.010865556,1.0096269,,,,stress_funds_tenant_floor/tuned_base
0,0,59,14.75,6,pv_only,7,True,1.8965223,-0.07504803,0.06540869,1.0118431,2.1248509883880615,2.1248509883880615,2.1248509883880615,stress_funds_tenant_floor/tuned_base
0,0,59,14.75,7,pv_battery,8,True,0.0071694255,-0.24812977,0.00024726457,1.0136057,0.7620880007743835,0.1808290034532547,0.1808290034532547,stress_funds_tenant_floor/tuned_base
0,0,59,14.75,8,pv_battery,10,True,0.018705755,-0.14470424,0.00064513827,1.0153991,0.4589589238166809,4.357293128967285,4.357293128967285,stress_funds_tenant_floor/tuned_base
0,0,59,14.75,9,pv_battery,12,True,-0.06981468,-0.21312279,-0.004165493,1.0162886,0.5785974264144897,1.249765396118164,1.249765396118164,stress_funds_tenant_floor/tuned_base
0,0,59,14.75,10,pv_only,6,True,2.7198415,-0.15257877,0.09380395,1.0050887,3.1840524673461914,3.1840524673461914,3.1840524673461914,stress_funds_tenant_floor/tuned_base
0,0,59,14.75,11,pv_battery,9,True,-0.06254566,-0.56343627,-0.0037317865,1.0041008,0.6589393019676208,1.5131882429122925,1.5131882429122925,stress_funds_tenant_floor/tuned_base
0,0,59,14.75,12,large_flex,14,True,3.4280117,-4.454248,0.118227854,1.0053337,5.086059093475342,10.185088157653809,10.185088157653809,stress_funds_tenant_floor/tuned_base
0,0,59,14.75,13,large_flex,16,True,-0.18068731,-5.970038,-0.010780708,1.0031651,0.7425949573516846,0.19596564769744873,0.19596564769744873,stress_funds_tenant_floor/tuned_base
0,0,59,14.75,14,large_flex,17,True,-0.2012325,-5.9915686,-0.012006536,1.0022708,0.7875552177429199,3.76037335395813,3.76037335395813,stress_funds_tenant_floor/tuned_base
0,0,59,14.75,15,pv_battery,11,True,4.0030165,-0.13031621,0.13805905,1.0138724,4.3994951248168945,9.276124954223633,5.447827339172363,stress_funds_tenant_floor/tuned_base
0,0,59,14.75,16,pv_battery,13,True,3.8418589,-0.13563436,0.13250093,1.019451,4.254517555236816,4.254517555236816,4.254517555236816,stress_funds_tenant_floor/tuned_base
0,0,59,14.75,17,large_flex,15,True,4.002942,-0.31773657,0.13805649,1.0204856,4.969634532928467,8.256729125976562,4.969634532928467,stress_funds_tenant_floor/tuned_base
1,0,60,15.0,0,tenant,0,False,-0.46904138,-0.15416646,-0.027985353,1.0000601,,,,stress_funds_tenant_floor/tuned_base
1,0,60,15.0,1,tenant,1,False,-0.43650362,-0.14347182,-0.026043987,1.004053,,,,stress_funds_tenant_floor/tuned_base
1,0,60,15.0,2,tenant,2,False,-0.31127813,-0.10231219,-0.018572409,1.0081818,,,,stress_funds_tenant_floor/tuned_base
1,0,60,15.0,3,tenant,3,False,-0.26945212,-0.08856464,-0.016076861,1.011824,,,,stress_funds_tenant_floor/tuned_base
1,0,60,15.0,4,tenant,4,False,-0.30561358,-0.10045034,-0.018234434,1.0147328,,,,stress_funds_tenant_floor/tuned_base
1,0,60,15.0,5,tenant,5,False,-0.20375803,-0.06697203,-0.012157222,1.017733,,,,stress_funds_tenant_floor/tuned_base
1,0,60,15.0,6,pv_only,7,True,1.5860915,-0.08395647,0.054482456,1.0198473,1.8415236473083496,1.8415236473083496,1.8415236473083496,stress_funds_tenant_floor/tuned_base
1,0,60,15.0,7,pv_battery,8,True,0.046104133,-0.23297608,0.0015836831,1.021588,0.7549185752868652,0.38944825530052185,0.38944825530052185,stress_funds_tenant_floor/tuned_base
1,0,60,15.0,8,pv_battery,10,True,0.06496295,-0.12335195,0.002231486,1.0233477,0.4402531683444977,4.231226921081543,4.231226921081543,stress_funds_tenant_floor/tuned_base
1,0,60,15.0,9,pv_battery,12,True,0.060531616,-0.19322701,0.002079269,1.0242817,0.6484121084213257,1.1859190464019775,1.1859190464019775,stress_funds_tenant_floor/tuned_base
1,0,60,15.0,10,pv_only,6,True,2.4617987,-0.15267804,0.08456311,1.0107925,2.926311731338501,2.926311731338501,2.926311731338501,stress_funds_tenant_floor/tuned_base
1,0,60,15.0,11,pv_battery,9,True,0.024829268,-0.2289797,0.0008528886,1.0166713,0.7214850187301636,1.5164248943328857,1.5164248943328857,stress_funds_tenant_floor/tuned_base
1,0,60,15.0,12,large_flex,14,True,3.9552817,-0.55967224,0.13586445,1.0215206,5.658047676086426,9.662683486938477,5.658047676086426,stress_funds_tenant_floor/tuned_base
1,0,60,15.0,13,large_flex,16,True,0.053188086,-0.28598616,0.0018270179,1.0215687,0.923282265663147,0.04664638638496399,0.04664638638496399,stress_funds_tenant_floor/tuned_base
1,0,60,15.0,14,large_flex,17,True,0.046355188,-0.30976263,0.0015923067,1.0215839,0.9887877106666565,3.540195941925049,3.540195941925049,stress_funds_tenant_floor/tuned_base
1,0,60,15.0,15,pv_battery,11,True,3.9725723,-0.13933133,0.13645838,1.0219116,4.396478652954102,8.565431594848633,4.396478652954102,stress_funds_tenant_floor/tuned_base
1,0,60,15.0,16,pv_battery,13,True,3.481745,-0.11705673,0.119598396,1.0269926,3.8378825187683105,3.8378825187683105,3.8378825187683105,stress_funds_tenant_floor/tuned_base
