interval,day,day_step,hour,connection,household,distance_rank,has_inverter,p_grid_kw,q_grid_kvar,settlement_chf,voltage_pu,p_inv_set_kw,pv_available_kw,pv_realized_kw,run
0,0,59,14.75,0,tenant,0,False,-0.47346637,-0.15562089,-0.02824937,0.99888206,,,,stress_smoothed/voltage_family
0,0,59,14.75,1,tenant,1,False,-0.41648266,-0.13689125,-0.024849437,1.00222,,,,stress_smoothed/voltage_family
0,0,59,14.75,2,tenant,2,False,-0.29962137,-0.0984808,-0.017876908,1.005739,,,,stress_smoothed/voltage_family
0,0,59,14.75,3,tenant,3,False,-0.3068704,-0.100863434,-0.018309422,1.0087521,,,,stress_smoothed/voltage_family
0,0,59,14.75,4,tenant,4,False,-0.27605242,-0.09073406,-0.016470667,1.0135032,,,,stress_smoothed/voltage_family
0,0,59,14.75,5,tenant,5,False,-0.18210939,-0.05985647,-0.010865556,1.0183415,,,,stress_smoothed/voltage_family
0,0,59,14.75,6,pv_only,7,True,1.8965223,-0.07504803,0.06496678,1.021359,2.1248509883880615,2.1248509883880615,2.1248509883880615,stress_smoothed/voltage_family
0,0,59,14.75,7,pv_battery,8,True,0.0,-0.24812977,0.0,1.0239277,0.7549185752868652,0.1808290034532547,0.1808290034532547,stress_smoothed/voltage_family
0,0,59,14.75,8,pv_battery,10,True,0.0678806,-0.14470424,0.0023253006,1.02653,0.5081337690353394,4.357293128967285,4.357293128967285,stress_smoothed/voltage_family
0,0,59,14.75,9,pv_battery,12,True,0.070812225,-0.21312279,0.0024257256,1.028227,0.7192243337631226,1.249765396118164,1.249765396118164,stress_smoothed/voltage_family
0,0,59,14.75,10,pv_only,6,True,2.7198415,-0.15257877,0.093170196,1.0086313,3.1840524673461914,3.1840524673461914,3.1840524673461914,stress_smoothed/voltage_family
0,0,59,14.75,11,pv_battery,9,True,0.0,-0.56343627,0.0,1.0095103,0.7214850187301636,1.5131882429122925,1.5131882429122925,stress_smoothed/voltage_family
0,0,59,14.75,12,large_flex,14,True,3.4280112,-4.454248,0.11742907,1.0107783,5.086058616638184,10.185088157653809,10.185088157653809,stress_smoothed/voltage_family
0,0,59,14.75,13,large_flex,16,True,-0.3501582,-5.970038,-0.02089219,1.0086614,0.5731240510940552,0.19596564769744873,0.19596564769744873,stress_smoothed/voltage_family
0,0,59,14.75,14,large_flex,17,True,0.0,-5.9915686,0.0,1.0079867,0.9887877106666565,3.76037335395813,3.76037335395813,stress_smoothed/voltage_family
0,0,59,14.75,15,pv_battery,11,True,7.845787,-0.13031621,0.26876327,1.0265737,8.242265701293945,9.276124954223633,9.276124954223633,stress_smoothed/voltage_family
0,0,59,14.75,16,pv_battery,13,True,3.8418589,-0.13563436,0.13160574,1.0305388,4.254517555236816,4.254517555236816,4.254517555236816,stress_smoothed/voltage_family
0,0,59,14.75,17,large_flex,15,True,7.290036,-0.31773657,0.24972562,1.0357862,8.256729125976562,8.256729125976562,8.256729125976562,stress_smoothed/voltage_family
1,0,60,15.0,0,tenant,0,False,-0.46904138,-0.15416646,-0.027985353,1.0001608,,,,stress_smoothed/voltage_family
1,0,60,15.0,1,tenant,1,False,-0.43650362,-0.14347182,-0.026043987,1.0064077,,,,stress_smoothed/voltage_family
1,0,60,15.0,2,tenant,2,False,-0.31127813,-0.10231219,-0.018572409,1.0128013,,,,stress_smoothed/voltage_family
1,0,60,15.0,3,tenant,3,False,-0.26945212,-0.08856464,-0.016076861,1.0187212,,,,stress_smoothed/voltage_family
1,0,60,15.0,4,tenant,4,False,-0.30561358,-0.10045034,-0.018234434,1.0230132,,,,stress_smoothed/voltage_family
1,0,60,15.0,5,tenant,5,False,-0.20375803,-0.06697203,-0.012157222,1.0274003,,,,stress_smoothed/voltage_family
1,0,60,15.0,6,pv_only,7,True,1.5860915,-0.08395647,0.054204687,1.0299225,1.8415236473083496,1.8415236473083496,1.8415236473083496,stress_smoothed/voltage_family
1,0,60,15.0,7,pv_battery,8,True,-0.11963844,-0.23297608,-0.0071382276,1.0320764,0.5891759991645813,0.38944825530052185,0.38944825530052185,stress_smoothed/voltage_family
1,0,60,15.0,8,pv_battery,10,True,0.0,-0.12335195,0.0,1.0342903,0.3752902150154114,4.231226921081543,4.231226921081543,stress_smoothed/voltage_family
1,0,60,15.0,9,pv_battery,12,True,0.0,-0.19322701,0.0,1.0357109,0.5878804922103882,1.1859190464019775,1.1859190464019775,stress_smoothed/voltage_family
1,0,60,15.0,10,pv_only,6,True,2.4617987,-0.15267804,0.08413199,1.0154002,2.926311492919922,2.926311731338501,2.926311492919922,stress_smoothed/voltage_family
1,0,60,15.0,11,pv_battery,9,True,0.0,-0.2289797,0.0,1.0281464,0.6966557502746582,1.5164248943328857,1.5164248943328857,stress_smoothed/voltage_family
1,0,60,15.0,12,large_flex,14,True,7.9599175,-0.55967224,0.27203023,1.0376055,9.662683486938477,9.662683486938477,9.662683486938477,stress_smoothed/voltage_family
1,0,60,15.0,13,large_flex,16,True,-0.043306947,-0.28598616,-0.0025839088,1.0374798,0.8267872333526611,0.04664638638496399,0.04664638638496399,stress_smoothed/voltage_family
1,0,60,15.0,14,large_flex,17,True,5.9604645e-08,-0.30976263,2.0369892e-09,1.0374466,0.9424325227737427,3.540195941925049,3.540195941925049,stress_smoothed/voltage_family
1,0,60,15.0,15,pv_battery,11,True,8.127052,-0.13933133,0.2777421,1.0358493,8.550958633422852,8.565431594848633,8.565431594848633,stress_smoothed/voltage_family
1,0,60,15.0,16,pv_battery,13,True,3.481745,-0.17577381,0.11898866,1.0378906,3.8378825187683105,3.8378825187683105,3.8378825187683105,stress_smoothed/voltage_family
1,0,60,15.0,17,large_flex,15,True,6.6538796,-1.1158613,0.2273964,1.0424767,7.554951190948486,7.554951190948486,7.554951190948486,stress_smoothed/voltage_family
2,0,61,15.25,0,tenant,0,False,-0.4911433,-0.16143101,-0.029304063,0.9995724,,,,stress_smoothed/voltage_family
2,0,61,15.25,1,tenant,1,False,-0.46037424,-0.15131772,-0.027468229,1.0044687,,,,stress_smoothed/voltage_family
2,0,61,15.25,2,tenant,2,False,-0.34883222,-0.11465562,-0.020813074,1.0095325,,,,stress_smoothed/voltage_family
2,0,61,15.25,3,tenant,3,False,-0.27644008,-0.09086148,-0.016493797,1.0141549,,,,stress_smoothed/voltage_family
2,0,61,15.25,4,tenant,4,False,-0.25982472,-0.08540027,-0.015502442,1.0176779,,,,stress_smoothed/voltage_family
