interval,day,day_step,hour,transformer_kw,transformer_kvar,losses_kw,voltage_max_pu,voltage_min_pu,curtailed_kw
0,0,59,14.75,-23.038387,19.71674,2.0614877,1.0357593,0.9988859,0.0
1,0,60,15.0,-27.161598,4.7712326,1.1285096,1.0427256,1.0,2.3841858e-07
2,0,61,15.25,-25.334835,11.9280815,1.1719419,1.033765,0.999555,0.0
3,0,62,15.5,-24.327755,4.6482086,0.9098309,1.0377351,1.0,0.0
4,0,63,15.75,-22.040367,7.282257,0.8152141,1.0324672,0.99986005,0.0
5,0,64,16.0,-20.209312,3.880024,0.63980186,1.0319691,1.0,4.7683716e-07
6,0,65,16.25,-18.725872,3.96204,0.56425273,1.0312653,1.0,4.7683716e-07
7,0,66,16.5,-15.490055,3.7145615,0.4068918,1.0274154,1.0,0.0
8,0,67,16.75,-11.398792,3.7708282,0.24185726,1.019606,0.9999268,4.172325e-07
9,0,68,17.0,-7.946968,3.7884712,0.13713819,1.0142332,0.99985605,0.0
10,0,69,17.25,-4.375458,4.0221214,0.06799412,1.0094074,0.9997659,0.0
11,0,70,17.5,-0.18882751,4.347801,0.024276407,1.0014518,0.99922484,5.9604645e-08
12,0,71,17.75,2.6016235,4.482746,0.019212123,1.0,0.9957534,0.0
13,0,72,18.0,4.2181015,4.562855,0.025037715,1.0,0.9937934,0.0
14,0,73,18.25,4.6715736,4.7979355,0.029616825,1.0,0.9931047,0.0
15,0,74,18.5,4.671097,4.7974586,0.029709853,1.0,0.99310476,0.0
16,0,75,18.75,4.6844482,4.8007965,0.03143683,1.0,0.9929834,0.0
17,0,76,19.0,4.6844482,4.8007965,0.031400282,1.0,0.99298334,0.0
18,0,77,19.25,4.7831535,4.945278,0.032131586,1.0,0.9928856,0.0
19,0,78,19.5,4.7836304,4.945755,0.032318275,1.0,0.9928856,0.0
20,0,79,19.75,4.5819283,4.664898,0.030500764,1.0,0.9930632,0.0
21,0,80,20.0,4.5809746,4.664898,0.029833572,1.0,0.9930632,0.0
22,0,81,20.25,4.553795,4.5962334,0.029169474,1.0,0.993077,0.0
23,0,82,20.5,4.553795,4.5952797,0.029310511,1.0,0.9930769,0.0
24,0,83,20.75,4.397869,4.3759346,0.026019828,1.0,0.9935739,0.0
