interval,day,day_step,hour,connection,household,distance_rank,has_inverter,p_grid_kw,q_grid_kvar,settlement_chf,voltage_pu,p_inv_set_kw,pv_available_kw,pv_realized_kw,run
0,0,59,14.75,0,tenant,0,False,-0.47346637,-0.15562089,-0.02824937,0.9988773,,,,stress_tenant_exempt/fixed_base
0,0,59,14.75,1,tenant,1,False,-0.41648266,-0.13689125,-0.024849437,1.0021479,,,,stress_tenant_exempt/fixed_base
0,0,59,14.75,2,tenant,2,False,-0.29962137,-0.0984808,-0.017876908,1.0055991,,,,stress_tenant_exempt/fixed_base
0,0,59,14.75,3,tenant,3,False,-0.3068704,-0.100863434,-0.018309422,1.0085437,,,,stress_tenant_exempt/fixed_base
0,0,59,14.75,4,tenant,4,False,-0.27605242,-0.09073406,-0.016470667,1.0132495,,,,stress_tenant_exempt/fixed_base
0,0,59,14.75,5,tenant,5,False,-0.18210939,-0.05985647,-0.010865556,1.0180423,,,,stress_tenant_exempt/fixed_base
0,0,59,14.75,6,pv_only,7,True,1.8965223,-0.07504803,0.06503992,1.021017,2.1248509883880615,2.1248509883880615,2.1248509883880615,stress_tenant_exempt/fixed_base
0,0,59,14.75,7,pv_battery,8,True,0.0071694255,-0.24812977,0.0002458705,1.0235431,0.7620880007743835,0.1808290034532547,0.1808290034532547,stress_tenant_exempt/fixed_base
0,0,59,14.75,8,pv_battery,10,True,0.018705755,-0.14470424,0.000641501,1.0261008,0.4589589238166809,4.357293128967285,4.357293128967285,stress_tenant_exempt/fixed_base
0,0,59,14.75,9,pv_battery,12,True,-0.06981468,-0.21312279,-0.004165493,1.0277646,0.5785974264144897,1.249765396118164,1.249765396118164,stress_tenant_exempt/fixed_base
0,0,59,14.75,10,pv_only,6,True,2.7198415,-0.15257877,0.093275085,1.0084919,3.1840524673461914,3.1840524673461914,3.1840524673461914,stress_tenant_exempt/fixed_base
0,0,59,14.75,11,pv_battery,9,True,-0.06254566,-0.56343627,-0.0037317865,1.0091846,0.6589393019676208,1.5131882429122925,1.5131882429122925,stress_tenant_exempt/fixed_base
0,0,59,14.75,12,large_flex,14,True,3.4280117,-4.454248,0.117561296,1.0104134,5.086059093475342,10.185088157653809,10.185088157653809,stress_tenant_exempt/fixed_base
