interval,day,day_step,hour,connection,household,distance_rank,has_inverter,p_grid_kw,q_grid_kvar,settlement_chf,voltage_pu,p_inv_set_kw,pv_available_kw,pv_realized_kw,run
0,0,59,14.75,0,tenant,0,False,-0.47346637,-0.15562089,-0.02824937,0.9988859,,,,stress_tenant_exempt/voltage_off_matched
0,0,59,14.75,1,tenant,1,False,-0.41648266,-0.13689125,-0.024849437,1.0022749,,,,stress_tenant_exempt/voltage_off_matched
0,0,59,14.75,2,tenant,2,False,-0.29962137,-0.0984808,-0.017876908,1.0058451,,,,stress_tenant_exempt/voltage_off_matched
0,0,59,14.75,3,tenant,3,False,-0.3068704,-0.100863434,-0.018309422,1.00891,,,,stress_tenant_exempt/voltage_off_matched
0,0,59,14.75,4,tenant,4,False,-0.27605242,-0.09073406,-0.016470667,1.0136255,,,,stress_tenant_exempt/voltage_off_matched
0,0,59,14.75,5,tenant,5,False,-0.18210939,-0.05985647,-0.010865556,1.0184283,,,,stress_tenant_exempt/voltage_off_matched
0,0,59,14.75,6,pv_only,7,True,1.8965223,-0.07504803,0.06482529,1.0214131,2.1248509883880615,2.1248509883880615,2.1248509883880615,stress_tenant_exempt/voltage_off_matched
0,0,59,14.75,7,pv_battery,8,True,0.0,-0.24812977,0.0,1.02395,0.7549185752868652,0.1808290034532547,0.1808290034532547,stress_tenant_exempt/voltage_off_matched
0,0,59,14.75,8,pv_battery,10,True,0.0035686493,-0.14470424,0.000121980476,1.0265197,0.44382181763648987,4.357293128967285,4.357293128967285,stress_tenant_exempt/voltage_off_matched
0,0,59,14.75,9,pv_battery,12,True,0.0005478859,-0.21312279,1.872736e-05,1.0281998,0.6489599943161011,1.249765396118164,1.249765396118164,stress_tenant_exempt/voltage_off_matched
0,0,59,14.75,10,pv_only,6,True,2.7198415,-0.15257877,0.09296727,1.0087372,3.1840524673461914,3.1840524673461914,3.1840524673461914,stress_tenant_exempt/voltage_off_matched
0,0,59,14.75,11,pv_battery,9,True,0.0007212162,-0.56343627,2.4651988e-05,1.0101101,0.7222062349319458,1.5131882429122925,1.5131882429122925,stress_tenant_exempt/voltage_off_matched
0,0,59,14.75,12,large_flex,14,True,3.4326565,-4.454248,0.11733209,1.0118207,5.090703964233398,10.185088157653809,10.185088157653809,stress_tenant_exempt/voltage_off_matched
0,0,59,14.75,13,large_flex,16,True,0.0,-5.970038,0.0,1.0101454,0.923282265663147,0.19596564769744873,0.19596564769744873,stress_tenant_exempt/voltage_off_matched
0,0,59,14.75,14,large_flex,17,True,0.002524376,-5.9915686,8.628603e-05,1.0094743,0.9913120865821838,3.76037335395813,3.76037335395813,stress_tenant_exempt/voltage_off_matched
0,0,59,14.75,15,pv_battery,11,True,7.8322687,-0.13031621,0.2677158,1.0266457,8.228747367858887,9.276124954223633,9.276124954223633,stress_tenant_exempt/voltage_off_matched
0,0,59,14.75,16,pv_battery,13,True,3.8418589,-0.13563436,0.13131909,1.0305285,4.254517555236816,4.254517555236816,4.254517555236816,stress_tenant_exempt/voltage_off_matched
0,0,59,14.75,17,large_flex,15,True,7.290036,-0.31773657,0.24918172,1.0357593,8.256729125976562,8.256729125976562,8.256729125976562,stress_tenant_exempt/voltage_off_matched
1,0,60,15.0,0,tenant,0,False,-0.46904138,-0.15416646,-0.027985353,1.0001642,,,,stress_tenant_exempt/voltage_off_matched
1,0,60,15.0,1,tenant,1,False,-0.43650362,-0.14347182,-0.026043987,1.0064517,,,,stress_tenant_exempt/voltage_off_matched
1,0,60,15.0,2,tenant,2,False,-0.31127813,-0.10231219,-0.018572409,1.0128863,,,,stress_tenant_exempt/voltage_off_matched
1,0,60,15.0,3,tenant,3,False,-0.26945212,-0.08856464,-0.016076861,1.0188475,,,,stress_tenant_exempt/voltage_off_matched
1,0,60,15.0,4,tenant,4,False,-0.30561358,-0.10045034,-0.018234434,1.0231715,,,,stress_tenant_exempt/voltage_off_matched
1,0,60,15.0,5,tenant,5,False,-0.20375803,-0.06697203,-0.012157222,1.0275908,,,,stress_tenant_exempt/voltage_off_matched
1,0,60,15.0,6,pv_only,7,True,1.5860915,-0.08395647,0.054153536,1.0301423,1.8415236473083496,1.8415236473083496,1.8415236473083496,stress_tenant_exempt/voltage_off_matched
1,0,60,15.0,7,pv_battery,8,True,-5.9604645e-08,-0.23297608,-3.556311e-09,1.0323257,0.7088144421577454,0.38944825530052185,0.38944825530052185,stress_tenant_exempt/voltage_off_matched
1,0,60,15.0,8,pv_battery,10,True,0.002131641,-0.12335195,7.2780094e-05,1.0345403,0.37742185592651367,4.231226921081543,4.231226921081543,stress_tenant_exempt/voltage_off_matched
1,0,60,15.0,9,pv_battery,12,True,0.00033062696,-0.19322701,1.1288515e-05,1.0359613,0.5882111191749573,1.1859190464019775,1.1859190464019775,stress_tenant_exempt/voltage_off_matched
1,0,60,15.0,10,pv_only,6,True,2.4617987,-0.15267804,0.084052585,1.015485,2.926311492919922,2.926311731338501,2.926311492919922,stress_tenant_exempt/voltage_off_matched
1,0,60,15.0,11,pv_battery,9,True,0.00045323372,-0.2289797,1.5474647e-05,1.0283196,0.6971089243888855,1.5164248943328857,1.5164248943328857,stress_tenant_exempt/voltage_off_matched
1,0,60,15.0,12,large_flex,14,True,7.955274,-0.55967224,0.27161497,1.0378252,9.658040046691895,9.662683486938477,9.662683486938477,stress_tenant_exempt/voltage_off_matched
1,0,60,15.0,13,large_flex,16,True,0.0,-0.28598616,0.0,1.0377539,0.8700941801071167,0.04664638638496399,0.04664638638496399,stress_tenant_exempt/voltage_off_matched
1,0,60,15.0,14,large_flex,17,True,0.0014361143,-0.30976263,4.9032897e-05,1.0377223,0.9438686370849609,3.540195941925049,3.540195941925049,stress_tenant_exempt/voltage_off_matched
1,0,60,15.0,15,pv_battery,11,True,8.140573,-0.13933133,0.27794155,1.0360523,8.564478874206543,8.565431594848633,8.565431594848633,stress_tenant_exempt/voltage_off_matched
1,0,60,15.0,16,pv_battery,13,True,3.481745,-0.17465663,0.118876375,1.0381398,3.8378825187683105,3.8378825187683105,3.8378825187683105,stress_tenant_exempt/voltage_off_matched
1,0,60,15.0,17,large_flex,15,True,6.6538796,-1.1120615,0.22718178,1.0427256,7.554951190948486,7.554951190948486,7.554951190948486,stress_tenant_exempt/voltage_off_matched
2,0,61,15.25,0,tenant,0,False,-0.4911433,-0.16143101,-0.029304063,0.999555,,,,stress_tenant_exempt/voltage_off_matched
2,0,61,15.25,1,tenant,1,False,-0.46037424,-0.15131772,-0.027468229,1.0044942,,,,stress_tenant_exempt/voltage_off_matched
2,0,61,15.25,2,tenant,2,False,-0.34883222,-0.11465562,-0.020813074,1.0096018,,,,stress_tenant_exempt/voltage_off_matched
2,0,61,15.25,3,tenant,3,False,-0.27644008,-0.09086148,-0.016493797,1.0142694,,,,stress_tenant_exempt/voltage_off_matched
2,0,61,15.25,4,tenant,4,False,-0.25982472,-0.08540027,-0.015502442,1.0178078,,,,stress_tenant_exempt/voltage_off_matched
2,0,61,15.25,5,tenant,5,False,-0.15278038,-0.050216492,-0.009115641,1.0214336,,,,stress_tenant_exempt/voltage_off_matched
2,0,61,15.25,6,pv_only,7,True,1.4197258,-0.113710634,0.04850836,1.0233504,1.732649803161621,1.732649803161621,1.732649803161621,stress_tenant_exempt/voltage_off_matched
2,0,61,15.25,7,pv_battery,8,True,0.0,-0.4653889,0.0,1.0249425,0.6448260545730591,0.281714528799057,0.281714528799057,stress_tenant_exempt/voltage_off_matched
2,0,61,15.25,8,pv_battery,10,True,0.001126051,-0.6353057,3.8474253e-05,1.026597,0.4286985397338867,3.785539150238037,3.785539150238037,stress_tenant_exempt/voltage_off_matched
2,0,61,15.25,9,pv_battery,12,True,0.0001795888,-0.8512217,6.1360847e-06,1.0276798,0.6135507225990295,1.1489648818969727,1.1489648818969727,stress_tenant_exempt/voltage_off_matched
2,0,61,15.25,10,pv_only,6,True,2.4183211,-0.15262067,0.08262778,1.0121628,2.882659435272217,2.882659435272217,2.882659435272217,stress_tenant_exempt/voltage_off_matched
2,0,61,15.25,11,pv_battery,9,True,0.00025892258,-0.24001956,8.846715e-06,1.0228813,0.7305027842521667,1.5025044679641724,1.5025044679641724,stress_tenant_exempt/voltage_off_matched
2,0,61,15.25,12,large_flex,14,True,7.5644603,-1.6554676,0.25845805,1.0315493,9.228401184082031,9.228401184082031,9.228401184082031,stress_tenant_exempt/voltage_off_matched
2,0,61,15.25,13,large_flex,16,True,0.0,-1.367446,0.0,1.031206,0.8183789849281311,0.160939022898674,0.160939022898674,stress_tenant_exempt/voltage_off_matched
2,0,61,15.25,14,large_flex,17,True,0.0008832216,-1.3664883,3.0177398e-05,1.03106,0.8299641609191895,3.462887763977051,3.462887763977051,stress_tenant_exempt/voltage_off_matched
2,0,61,15.25,15,pv_battery,11,True,7.722044,-0.7936919,0.26384228,1.0294424,8.130188941955566,8.130188941955566,8.130188941955566,stress_tenant_exempt/voltage_off_matched
2,0,61,15.25,16,pv_battery,13,True,3.2311924,-1.0154537,0.11040149,1.0298744,3.621950149536133,3.621950149536133,3.621950149536133,stress_tenant_exempt/voltage_off_matched
2,0,61,15.25,17,large_flex,15,True,6.0471864,-2.122684,0.20661671,1.033765,7.020541191101074,7.020541191101074,7.020541191101074,stress_tenant_exempt/voltage_off_matched
3,0,62,15.5,0,tenant,0,False,-0.5192394,-0.17066577,-0.03098042,1.0001168,,,,stress_tenant_exempt/voltage_off_matched
3,0,62,15.5,1,tenant,1,False,-0.4286329,-0.14088483,-0.02557438,1.005726,,,,stress_tenant_exempt/voltage_off_matched
3,0,62,15.5,2,tenant,2,False,-0.3377884,-0.11102569,-0.020154145,1.0114726,,,,stress_tenant_exempt/voltage_off_matched
3,0,62,15.5,3,tenant,3,False,-0.25421128,-0.083555214,-0.015167516,1.0167744,,,,stress_tenant_exempt/voltage_off_matched
3,0,62,15.5,4,tenant,4,False,-0.2797709,-0.091956265,-0.01669253,1.0206256,,,,stress_tenant_exempt/voltage_off_matched
3,0,62,15.5,5,tenant,5,False,-0.12751168,-0.04191107,-0.0076079844,1.0245615,,,,stress_tenant_exempt/voltage_off_matched
3,0,62,15.5,6,pv_only,7,True,1.4188555,-0.08878322,0.048493978,1.0268056,1.6889727115631104,1.6889727115631104,1.6889727115631104,stress_tenant_exempt/voltage_off_matched
3,0,62,15.5,7,pv_battery,8,True,0.0,-0.21796405,0.0,1.0287194,0.6631413698196411,0.426242470741272,0.426242470741272,stress_tenant_exempt/voltage_off_matched
3,0,62,15.5,8,pv_battery,10,True,0.00058186054,-0.14729175,1.9886967e-05,1.0306613,0.44870734214782715,3.3086776733398438,3.3086776733398438,stress_tenant_exempt/voltage_off_matched
3,0,62,15.5,9,pv_battery,12,True,7.2181225e-05,-0.22004901,2.467027e-06,1.0318906,0.6695568561553955,1.0245200395584106,1.0245200395584106,stress_tenant_exempt/voltage_off_matched
3,0,62,15.5,10,pv_only,6,True,2.3382375,-0.13631433,0.079916835,1.0139455,2.752964973449707,2.752964973449707,2.752964973449707,stress_tenant_exempt/voltage_off_matched
3,0,62,15.5,11,pv_battery,9,True,0.0001167655,-0.21215326,3.9908386e-06,1.025405,0.6455791592597961,1.2194039821624756,1.2194039821624756,stress_tenant_exempt/voltage_off_matched
3,0,62,15.5,12,large_flex,14,True,7.253829,-0.7499496,0.24792309,1.0340577,8.867720603942871,8.867720603942871,8.867720603942871,stress_tenant_exempt/voltage_off_matched
3,0,62,15.5,13,large_flex,16,True,0.0,-0.35099345,0.0,1.0339706,0.5480671525001526,0.20436759293079376,0.20436759293079376,stress_tenant_exempt/voltage_off_matched
3,0,62,15.5,14,large_flex,17,True,0.00052154064,-0.3864899,1.7825338e-05,1.0339303,0.7195243835449219,3.283782958984375,3.283782958984375,stress_tenant_exempt/voltage_off_matched
3,0,62,15.5,15,pv_battery,11,True,7.257401,-0.09704755,0.24804516,1.032136,7.552661895751953,7.552661895751953,7.552661895751953,stress_tenant_exempt/voltage_off_matched
