interval,day,day_step,hour,transformer_kw,transformer_kvar,losses_kw,voltage_max_pu,voltage_min_pu,curtailed_kw
0,0,59,14.75,-23.665428,19.735336,2.0963917,1.036501,0.9988971,0.0
1,0,60,15.0,-27.114391,4.958153,1.1262615,1.0425988,1.0,2.3841858e-07
2,0,61,15.25,-25.445461,11.675835,1.1703176,1.034094,0.9995774,0.0
3,0,62,15.5,-24.37687,4.898548,0.9181211,1.0376495,1.0,0.0
4,0,63,15.75,-22.073269,7.2226524,0.8172565,1.0325696,0.9998655,0.0
5,0,64,16.0,-20.226002,3.894806,0.64099956,1.0319737,1.0,4.7683716e-07
6,0,65,16.25,-18.445492,3.9577484,0.546508,1.029645,1.0,4.7683716e-07
7,0,66,16.5,-15.491962,3.5367012,0.40402007,1.0275759,1.0,0.0
8,0,67,16.75,-11.401176,3.7708282,0.2427979,1.0196078,0.9999268,4.172325e-07
9,0,68,17.0,-7.946968,3.7879944,0.13738498,1.014234,0.9998562,0.0
10,0,69,17.25,-4.375458,4.0216446,0.06720691,1.0094073,0.9997659,0.0
11,0,70,17.5,-0.18882751,4.3492317,0.023010071,1.0014516,0.9992247,5.9604645e-08
12,0,71,17.75,2.6011467,4.483223,0.019014057,1.0,0.9957533,0.0
13,0,72,18.0,4.2181015,4.5638084,0.02432286,1.0,0.99379265,0.0
14,0,73,18.25,4.673004,4.7984123,0.030916391,1.0,0.9931041,0.0
15,0,74,18.5,4.673004,4.7974586,0.029664153,1.0,0.9931041,0.0
16,0,75,18.75,4.685402,4.8007965,0.029976988,1.0,0.99298376,0.0
17,0,76,19.0,4.684925,4.8003197,0.030582588,1.0,0.9929838,0.0
18,0,77,19.25,4.781723,4.945755,0.032174997,1.0,0.9928861,0.0
19,0,78,19.5,4.781723,4.945755,0.032251794,1.0,0.9928861,0.0
20,0,79,19.75,4.5809746,4.664898,0.02993136,1.0,0.9930638,0.0
21,0,80,20.0,4.5809746,4.664898,0.02999208,1.0,0.99306375,0.0
22,0,81,20.25,4.553795,4.5962334,0.030032802,1.0,0.9930774,0.0
23,0,82,20.5,4.553795,4.5952797,0.029347764,1.0,0.99307734,0.0
24,0,83,20.75,4.3973923,4.377365,0.025775356,1.0,0.99357355,0.0
25,0,84,21.0,4.3973923,4.377365,0.025959365,1.0,0.99357355,0.0
26,0,85,21.25,4.240513,4.365921,0.02561971,1.0,0.9934952,0.0
27,0,86,21.5,4.1952133,4.2362213,0.024161775,1.0,0.9937798,0.0
28,0,87,21.75,4.1484833,4.160404,0.022385182,1.0,0.9939816,0.0
29,0,88,22.0,5.903721,4.2920113,0.042894818,1.0,0.9883593,0.0
30,0,89,22.25,5.903721,4.2920113,0.042728804,1.0,0.9883593,0.0
31,0,90,22.5,6.1945915,4.240513,0.04444479,1.0,0.9882567,0.0
32,0,91,22.75,6.1945915,4.240513,0.044582065,1.0,0.9882567,0.0
33,0,92,23.0,5.362034,3.610611,0.033415854,1.0,0.98938143,0.0
34,0,93,23.25,4.9562454,3.3903122,0.027217193,1.0,0.99037397,0.0
35,0,94,23.5,4.8098564,3.2143593,0.024547838,1.0,0.99101895,0.0
36,0,95,23.75,4.81987,3.297329,0.028529072,1.0,0.9899195,0.0
37,1,0,0.0,4.4322014,3.0107498,0.023000333,1.0,0.99084425,0.0
38,1,1,0.25,5.0239563,2.8467178,0.02822731,1.0,0.9896083,0.0
39,1,2,0.5,5.0239563,2.8467178,0.028144881,1.0,0.9896083,0.0
40,1,3,0.75,4.4150352,2.670288,0.022271376,1.0,0.99072826,0.0
41,1,4,1.0,4.2586327,2.5782585,0.019547665,1.0,0.991344,0.0
42,1,5,1.25,3.9505959,2.4547577,0.0139903845,1.0,0.9925775,0.0
43,1,6,1.5,3.6859512,2.2644997,0.011777562,1.0,0.9934264,0.0
44,1,7,1.75,3.6859512,2.2644997,0.011792769,1.0,0.9934264,0.0
45,1,8,2.0,3.6859512,2.2644997,0.01180361,1.0,0.9934264,0.0
46,1,9,2.25,3.581524,2.3026466,0.013761542,1.0,0.99281985,0.0
47,1,10,2.5,3.581524,2.3026466,0.013733586,1.0,0.9928199,0.0
48,1,11,2.75,3.581524,2.3026466,0.0135530075,1.0,0.99281996,0.0
49,1,12,3.0,3.581524,2.3026466,0.013736105,1.0,0.99282,0.0
50,1,13,3.25,3.4627914,2.222538,0.012942655,1.0,0.9923662,0.0
51,1,14,3.5,3.4632683,2.2230148,0.012976259,1.0,0.99236614,0.0
52,1,15,3.75,3.2753944,2.257347,0.012541472,1.0,0.9928734,0.0
53,1,16,4.0,3.2753944,2.257347,0.01271441,1.0,0.9928734,0.0
54,1,17,4.25,3.2753944,2.257347,0.012382718,1.0,0.9928734,0.0
55,1,18,4.5,3.5295486,2.383232,0.0149808405,1.0,0.9924816,0.0
56,1,19,4.75,3.5290718,2.3827553,0.014036899,1.0,0.99248165,0.0
57,1,20,5.0,3.8900375,2.5501251,0.01797522,1.0,0.9918918,0.0
58,1,21,5.25,3.8905144,2.550602,0.017902257,1.0,0.9918918,0.0
59,1,22,5.5,3.8905144,2.5515556,0.017856142,1.0,0.9918918,0.0
60,1,23,5.75,3.9935112,2.8219223,0.018279042,1.0,0.9923169,0.0
61,1,24,6.0,3.9930344,2.8214455,0.01875313,1.0,0.9923169,0.0
62,1,25,6.25,4.119396,3.0784607,0.020240143,1.0,0.99210715,0.0
63,1,26,6.5,2.4118423,3.0927658,0.010931511,1.0,0.99542505,0.0
64,1,27,6.75,-0.6752014,3.0670166,0.012158765,1.0011704,0.9996241,0.0
65,1,28,7.0,-4.2085648,3.0732155,0.04347245,1.0063018,0.9998385,0.0
66,1,29,7.25,-7.824421,3.1762123,0.111121915,1.0123906,0.99990255,1.1920929e-07
67,1,30,7.5,-11.296272,3.2496452,0.20709237,1.0179837,0.99996644,0.0
68,1,31,7.75,-14.216423,3.3659935,0.31323546,1.0238992,1.0,0.0
69,1,32,8.0,-17.225266,3.467083,0.44009322,1.0283245,1.0,0.0
70,1,33,8.25,-20.092487,3.6330223,0.5852962,1.03168,1.0,0.0
