interval,day,day_step,hour,transformer_kw,transformer_kvar,losses_kw,voltage_max_pu,voltage_min_pu,curtailed_kw
0,0,59,14.75,-29.7184,19.940853,2.5199876,1.0436983,0.999003,0.0
1,0,60,15.0,-29.331207,8.582115,1.3780375,1.0427973,0.9999032,2.3841858e-07
2,0,61,15.25,-27.951717,13.00478,1.4231275,1.0374897,0.99952185,0.0
3,0,62,15.5,-26.816845,8.111477,1.1700895,1.0391226,0.9998901,0.0
4,0,63,15.75,-24.49274,9.723663,1.0566851,1.0343775,0.99971426,0.0
5,0,64,16.0,-22.356033,5.721092,0.80512744,1.0338554,0.99999124,0.0
6,0,65,16.25,-19.129276,5.19228,0.59867626,1.0288985,0.99996847,0.0
7,0,66,16.5,-15.621185,3.5390854,0.40173346,1.0246003,1.0,0.0
8,0,67,16.75,-11.507988,3.7765503,0.24288939,1.0186216,0.99992853,4.172325e-07
9,0,68,17.0,-7.973194,3.7899017,0.13616216,1.0130239,0.9998566,0.0
10,0,69,17.25,-4.230976,4.020214,0.06346882,1.0073557,0.9997631,0.0
11,0,70,17.5,-0.015258789,4.3473244,0.02214784,1.0008755,0.9990932,0.0
12,0,71,17.75,2.7194023,4.483223,0.019646293,1.0,0.9956619,0.0
13,0,72,18.0,4.219532,4.5633316,0.024266265,1.0,0.9937918,0.0
14,0,73,18.25,4.6725273,4.798889,0.030103361,1.0,0.99310493,0.0
15,0,74,18.5,4.6725273,4.798889,0.02931152,1.0,0.99310493,0.0
16,0,75,18.75,4.684925,4.8003197,0.030747725,1.0,0.992984,0.0
17,0,76,19.0,4.685402,4.8007965,0.030126084,1.0,0.992984,0.0
18,0,77,19.25,4.7822,4.945278,0.0315986,1.0,0.9928861,0.0
19,0,78,19.5,4.781723,4.945755,0.031584952,1.0,0.9928861,0.0
20,0,79,19.75,4.5819283,4.664898,0.030189276,1.0,0.9930636,0.0
21,0,80,20.0,4.5809746,4.664898,0.029265145,1.0,0.9930636,0.0
22,0,81,20.25,4.553795,4.5962334,0.029872332,1.0,0.9930776,0.0
23,0,82,20.5,4.553795,4.5952797,0.029643146,1.0,0.99307764,0.0
24,0,83,20.75,4.397869,4.3768883,0.025851812,1.0,0.9935733,0.0
25,0,84,21.0,4.397869,4.3768883,0.026095353,1.0,0.99357337,0.0
26,0,85,21.25,4.2414665,4.365921,0.025466558,1.0,0.9934953,0.0
27,0,86,21.5,4.19569,4.234791,0.02455429,1.0,0.99378014,0.0
28,0,87,21.75,4.1484833,4.161358,0.023461398,1.0,0.99398124,0.0
29,0,88,22.0,5.903721,4.2920113,0.04328986,1.0,0.98835975,0.0
30,0,89,22.25,5.903721,4.2920113,0.042609178,1.0,0.98835975,0.0
31,0,90,22.5,6.1945915,4.2390823,0.045016184,1.0,0.988257,0.0
32,0,91,22.75,6.193638,4.2386055,0.04417575,1.0,0.988257,0.0
33,0,92,23.0,5.3625107,3.6110878,0.03228761,1.0,0.98938084,0.0
34,0,93,23.25,4.9567223,3.3898354,0.027896821,1.0,0.9903733,0.0
35,0,94,23.5,4.8098564,3.2143593,0.023833029,1.0,0.99101955,0.0
36,0,95,23.75,4.81987,3.297329,0.029146727,1.0,0.98991907,0.0
37,1,0,0.0,4.4322014,3.0107498,0.023353541,1.0,0.9908446,0.0
38,1,1,0.25,5.02491,2.8467178,0.028452642,1.0,0.98960817,0.0
39,1,2,0.5,5.024433,2.8471947,0.02908599,1.0,0.98960817,0.0
40,1,3,0.75,4.4150352,2.670288,0.02232808,1.0,0.990728,0.0
41,1,4,1.0,4.257679,2.5787354,0.019446485,1.0,0.99134433,0.0
42,1,5,1.25,3.950119,2.4552345,0.014487778,1.0,0.99257773,0.0
43,1,6,1.5,3.6845207,2.2644997,0.011877744,1.0,0.99342597,0.0
44,1,7,1.75,3.6845207,2.2644997,0.011418209,1.0,0.99342597,0.0
45,1,8,2.0,3.6845207,2.2644997,0.01151347,1.0,0.99342597,0.0
46,1,9,2.25,3.581524,2.3026466,0.013522059,1.0,0.9928196,0.0
47,1,10,2.5,3.581524,2.3026466,0.013139648,1.0,0.99281967,0.0
48,1,11,2.75,3.581524,2.3026466,0.013043235,1.0,0.99281967,0.0
49,1,12,3.0,3.581524,2.3026466,0.013029154,1.0,0.99281967,0.0
