interval,day,day_step,hour,connection,household,distance_rank,has_inverter,p_grid_kw,q_grid_kvar,settlement_chf,voltage_pu,p_inv_set_kw,pv_available_kw,pv_realized_kw,run
0,0,59,14.75,0,tenant,0,False,-0.47346637,-0.15562089,-0.0223842,0.9988971,,,,two_part_volumetric/tuned_family
0,0,59,14.75,1,tenant,1,False,-0.41648266,-0.13689125,-0.018699348,1.00244,,,,two_part_volumetric/tuned_family
0,0,59,14.75,2,tenant,2,False,-0.29962137,-0.0984808,-0.011142512,1.0061656,,,,two_part_volumetric/tuned_family
0,0,59,14.75,3,tenant,3,False,-0.3068704,-0.100863434,-0.011611271,1.0093871,,,,two_part_volumetric/tuned_family
0,0,59,14.75,4,tenant,4,False,-0.27605242,-0.09073406,-0.009618427,1.0141616,,,,two_part_volumetric/tuned_family
0,0,59,14.75,5,tenant,5,False,-0.18210939,-0.05985647,-0.0035435995,1.0190234,,,,two_part_volumetric/tuned_family
0,0,59,14.75,6,pv_only,7,True,1.8965223,-0.07504803,0.06355562,1.0220568,2.1248509883880615,2.1248509883880615,2.1248509883880615,two_part_volumetric/tuned_family
0,0,59,14.75,7,pv_battery,8,True,0.0,-0.24812977,0.008232503,1.0246423,0.7549185752868652,0.1808290034532547,0.1808290034532547,two_part_volumetric/tuned_family
0,0,59,14.75,8,pv_battery,10,True,0.18576905,-0.14470424,0.01365154,1.027261,0.626022219657898,4.357293128967285,4.357293128967285,two_part_volumetric/tuned_family
0,0,59,14.75,9,pv_battery,12,True,0.02851963,-0.21312279,0.009064444,1.0289468,0.6769317388534546,1.249765396118164,1.249765396118164,two_part_volumetric/tuned_family
0,0,59,14.75,10,pv_only,6,True,2.7198415,-0.15257877,0.08757252,1.0090568,3.1840524673461914,3.1840524673461914,3.1840524673461914,two_part_volumetric/tuned_family
0,0,59,14.75,11,pv_battery,9,True,0.03754723,-0.56343627,0.009327787,1.0110838,0.7590322494506836,1.5131882429122925,1.5131882429122925,two_part_volumetric/tuned_family
0,0,59,14.75,12,large_flex,14,True,3.6698372,-4.454248,0.11528468,1.0132459,5.327884674072266,10.185088157653809,10.185088157653809,two_part_volumetric/tuned_family
0,0,59,14.75,13,large_flex,16,True,0.0,-5.970038,0.008232503,1.0117333,0.923282265663147,0.19596564769744873,0.19596564769744873,two_part_volumetric/tuned_family
0,0,59,14.75,14,large_flex,17,True,0.13144487,-5.9915686,0.012066859,1.0112002,1.1202325820922852,3.76037335395813,3.76037335395813,two_part_volumetric/tuned_family
0,0,59,14.75,15,pv_battery,11,True,7.881032,-0.13031621,0.23812869,1.0272869,8.277510643005371,9.276124954223633,9.276124954223633,two_part_volumetric/tuned_family
0,0,59,14.75,16,pv_battery,13,True,3.8418589,-0.13563436,0.12030271,1.0312672,4.254517555236816,4.254517555236816,4.254517555236816,two_part_volumetric/tuned_family
0,0,59,14.75,17,large_flex,15,True,7.290036,-0.31773657,0.22088888,1.036501,8.256729125976562,8.256729125976562,8.256729125976562,two_part_volumetric/tuned_family
1,0,60,15.0,0,tenant,0,False,-0.46904138,-0.15416646,-0.021378241,1.0001482,,,,two_part_volumetric/tuned_family
1,0,60,15.0,1,tenant,1,False,-0.43650362,-0.14347182,-0.01927419,1.0063999,,,,two_part_volumetric/tuned_family
1,0,60,15.0,2,tenant,2,False,-0.31127813,-0.10231219,-0.011176483,1.0127991,,,,two_part_volumetric/tuned_family
1,0,60,15.0,3,tenant,3,False,-0.26945212,-0.08856464,-0.008471805,1.0187252,,,,two_part_volumetric/tuned_family
1,0,60,15.0,4,tenant,4,False,-0.30561358,-0.10045034,-0.010810184,1.0230451,,,,two_part_volumetric/tuned_family
1,0,60,15.0,5,tenant,5,False,-0.20375803,-0.06697203,-0.004223696,1.0274605,,,,two_part_volumetric/tuned_family
1,0,60,15.0,6,pv_only,7,True,1.5860915,-0.08395647,0.05517644,1.0300195,1.8415236473083496,1.8415236473083496,1.8415236473083496,two_part_volumetric/tuned_family
1,0,60,15.0,7,pv_battery,8,True,-5.9604645e-08,-0.23297608,0.008952313,1.0322106,0.7088144421577454,0.38944825530052185,0.38944825530052185,two_part_volumetric/tuned_family
1,0,60,15.0,8,pv_battery,10,True,0.11302608,-0.12335195,0.012246283,1.034433,0.48831629753112793,4.231226921081543,4.231226921081543,two_part_volumetric/tuned_family
1,0,60,15.0,9,pv_battery,12,True,0.017529845,-0.19322701,0.009463197,1.0358452,0.6054103374481201,1.1859190464019775,1.1859190464019775,two_part_volumetric/tuned_family
