interval,day,day_step,hour,transformer_kw,transformer_kvar,losses_kw,voltage_max_pu,voltage_min_pu,curtailed_kw
0,0,59,14.75,-23.02742,19.716263,2.0610142,1.0357448,0.99888575,0.0
1,0,60,15.0,-27.165413,4.7683716,1.1282637,1.0427288,1.0,2.3841858e-07
2,0,61,15.25,-25.33102,11.933327,1.1718054,1.0337572,0.9995545,0.0
3,0,62,15.5,-24.327755,4.6429634,0.90924,1.0377374,1.0,0.0
4,0,63,15.75,-22.03989,7.285118,0.81620365,1.032466,0.99985987,0.0
5,0,64,16.0,-20.208836,3.880024,0.6403094,1.0319687,1.0,4.7683716e-07
6,0,65,16.25,-18.730164,3.9625168,0.5653454,1.0312957,1.0,4.7683716e-07
7,0,66,16.5,-15.489578,3.7193298,0.40626013,1.0274113,1.0,0.0
8,0,67,16.75,-11.398792,3.771305,0.24235179,1.0196058,0.99992675,4.172325e-07
9,0,68,17.0,-7.946968,3.7884712,0.13738532,1.0142332,0.99985605,0.0
10,0,69,17.25,-4.374981,4.0221214,0.06755698,1.009407,0.9997658,0.0
11,0,70,17.5,-0.18882751,4.347801,0.02360734,1.0014521,0.99922526,5.9604645e-08
12,0,71,17.75,2.6016235,4.482746,0.018828869,1.0,0.9957533,0.0
13,0,72,18.0,4.2181015,4.562855,0.024901666,1.0,0.9937928,0.0
14,0,73,18.25,4.671097,4.799366,0.029614931,1.0,0.9931052,0.0
15,0,74,18.5,4.67062,4.7979355,0.030640345,1.0,0.9931052,0.0
16,0,75,18.75,4.6844482,4.8007965,0.031569287,1.0,0.9929834,0.0
17,0,76,19.0,4.6844482,4.8007965,0.031091975,1.0,0.99298334,0.0
18,0,77,19.25,4.7831535,4.9443245,0.031087738,1.0,0.9928859,0.0
19,0,78,19.5,4.7826767,4.9438477,0.032043412,1.0,0.9928858,0.0
20,0,79,19.75,4.5814514,4.6653748,0.030372262,1.0,0.99306357,0.0
21,0,80,20.0,4.5809746,4.664898,0.030222539,1.0,0.99306357,0.0
22,0,81,20.25,4.553795,4.5952797,0.029398484,1.0,0.99307793,0.0
23,0,82,20.5,4.553318,4.594803,0.030157462,1.0,0.99307793,0.0
24,0,83,20.75,4.3964386,4.378319,0.026868045,1.0,0.99357367,0.0
25,0,84,21.0,4.3959618,4.377842,0.026012665,1.0,0.99357367,0.0
26,0,85,21.25,4.2409897,4.365444,0.025876703,1.0,0.9934953,0.0
27,0,86,21.5,4.1947365,4.234314,0.024291283,1.0,0.9937798,0.0
28,0,87,21.75,4.14896,4.160881,0.023238678,1.0,0.99398065,0.0
29,0,88,22.0,5.903721,4.2920113,0.043025903,1.0,0.9883591,0.0
30,0,89,22.25,5.903721,4.2920113,0.04236553,1.0,0.9883591,0.0
31,0,90,22.5,6.1941147,4.2409897,0.04452757,1.0,0.9882569,0.0
32,0,91,22.75,6.1945915,4.2414665,0.043900292,1.0,0.9882569,0.0
33,0,92,23.0,5.362034,3.610611,0.0332149,1.0,0.9893815,0.0
34,0,93,23.25,4.9567223,3.390789,0.027925784,1.0,0.99037397,0.0
35,0,94,23.5,4.811287,3.2138824,0.024001209,1.0,0.9910194,0.0
36,0,95,23.75,4.81987,3.297329,0.029617192,1.0,0.9899192,0.0
37,1,0,0.0,4.4322014,3.0107498,0.023277145,1.0,0.9908443,0.0
38,1,1,0.25,5.024433,2.8471947,0.028340003,1.0,0.9896079,0.0
39,1,2,0.5,5.024433,2.8471947,0.027900051,1.0,0.9896079,0.0
40,1,3,0.75,4.4150352,2.670288,0.022541353,1.0,0.99072784,0.0
41,1,4,1.0,4.257679,2.5787354,0.020160018,1.0,0.9913438,0.0
42,1,5,1.25,3.9505959,2.4547577,0.01480422,1.0,0.9925778,0.0
43,1,6,1.5,3.6854744,2.2654533,0.01135421,1.0,0.9934257,0.0
44,1,7,1.75,3.6854744,2.2654533,0.011661223,1.0,0.9934258,0.0
45,1,8,2.0,3.6854744,2.2654533,0.011270937,1.0,0.99342585,0.0
46,1,9,2.25,3.581524,2.301693,0.013469912,1.0,0.99281985,0.0
47,1,10,2.5,3.581524,2.301693,0.013186639,1.0,0.9928199,0.0
48,1,11,2.75,3.581524,2.301693,0.013205975,1.0,0.99281996,0.0
49,1,12,3.0,3.581524,2.301693,0.0133800665,1.0,0.99282,0.0
50,1,13,3.25,3.4632683,2.2230148,0.013483765,1.0,0.99236614,0.0
51,1,14,3.5,3.4632683,2.2230148,0.013122043,1.0,0.9923661,0.0
52,1,15,3.75,3.2758713,2.2568703,0.012439821,1.0,0.9928734,0.0
53,1,16,4.0,3.2758713,2.2568703,0.0123891765,1.0,0.9928733,0.0
54,1,17,4.25,3.2758713,2.2568703,0.012746012,1.0,0.99287325,0.0
55,1,18,4.5,3.5300255,2.383709,0.014432766,1.0,0.9924813,0.0
56,1,19,4.75,3.5295486,2.383232,0.014632959,1.0,0.9924813,0.0
57,1,20,5.0,3.8900375,2.5501251,0.01761302,1.0,0.9918917,0.0
58,1,21,5.25,3.8905144,2.550602,0.017202344,1.0,0.9918917,0.0
59,1,22,5.5,3.8905144,2.5515556,0.016510982,1.0,0.9918917,0.0
60,1,23,5.75,3.9920807,2.8238297,0.018295014,1.0,0.992317,0.0
61,1,24,6.0,3.991127,2.822876,0.017842544,1.0,0.992317,0.0
62,1,25,6.25,4.0335655,3.0779839,0.019838525,1.0,0.9922837,0.0
63,1,26,6.5,2.4161339,3.0937195,0.010235235,1.0,0.99541533,0.0
64,1,27,6.75,-0.65279007,3.0674934,0.011718657,1.0011256,0.9996066,0.0
65,1,28,7.0,-4.142761,3.0722618,0.042245258,1.0061805,0.99983716,0.0
66,1,29,7.25,-7.6675415,3.1752586,0.10706717,1.0120798,0.99989957,1.1920929e-07
67,1,30,7.5,-10.968208,3.2458305,0.19584282,1.0173401,0.9999601,0.0
68,1,31,7.75,-13.58366,3.35598,0.28614864,1.0226246,1.0,0.0
69,1,32,8.0,-16.066551,3.4427643,0.382683,1.026045,1.0,0.0
70,1,33,8.25,-17.97533,3.5824776,0.46741542,1.0275831,1.0,0.0
71,1,34,8.5,-18.39304,3.8175583,0.48596716,1.0269833,1.0,0.0
72,1,35,8.75,-18.36729,3.8499832,0.4753843,1.0270212,1.0,0.0
73,1,36,9.0,-18.456459,3.8514137,0.47735032,1.0270911,1.0,0.0
74,1,37,9.25,-16.992092,3.9081573,0.3980312,1.0242558,1.0,0.0
75,1,38,9.5,-15.003204,3.976345,0.30511525,1.0205916,0.9999828,0.0
76,1,39,9.75,-12.975216,3.9477348,0.23288187,1.0170809,0.99994427,0.0
77,1,40,10.0,-13.413429,4.0516853,0.25021133,1.0165215,0.99994475,0.0
78,1,41,10.25,-14.457226,3.9482117,0.31440002,1.0209891,0.99997413,4.7683716e-07
79,1,42,10.5,-14.008522,4.041195,0.31026247,1.0210862,0.9999576,0.0
80,1,43,10.75,-16.176224,3.9963722,0.37102103,1.0234213,1.0,0.0
81,1,44,11.0,-30.725956,4.412174,1.2686015,1.0468843,1.0,0.0
82,1,45,11.25,-32.463074,14.799118,1.7305166,1.0423406,0.9994696,0.0
83,1,46,11.5,-35.645485,9.61256,1.8460909,1.0508236,0.9999485,0.0
84,1,47,11.75,-39.492607,21.972656,2.8911853,1.051502,0.9990386,4.7683716e-07
85,1,48,12.0,-39.26134,20.977974,2.8767931,1.0531627,0.9991133,0.0
