interval,day,day_step,hour,connection,household,distance_rank,has_inverter,p_grid_kw,q_grid_kvar,settlement_chf,voltage_pu,p_inv_set_kw,pv_available_kw,pv_realized_kw,run
0,0,59,14.75,0,tenant,0,False,-0.47346637,-0.15562089,-0.02824937,0.99888575,,,,voltage_sensitivity/tuned_family
0,0,59,14.75,1,tenant,1,False,-0.41648266,-0.13689125,-0.024849437,1.0022715,,,,voltage_sensitivity/tuned_family
0,0,59,14.75,2,tenant,2,False,-0.29962137,-0.0984808,-0.017876908,1.0058388,,,,voltage_sensitivity/tuned_family
0,0,59,14.75,3,tenant,3,False,-0.3068704,-0.100863434,-0.018309422,1.0089005,,,,voltage_sensitivity/tuned_family
0,0,59,14.75,4,tenant,4,False,-0.27605242,-0.09073406,-0.016470667,1.013615,,,,voltage_sensitivity/tuned_family
0,0,59,14.75,5,tenant,5,False,-0.18210939,-0.05985647,-0.010865556,1.0184166,,,,voltage_sensitivity/tuned_family
0,0,59,14.75,6,pv_only,7,True,1.8965223,-0.07504803,0.06482567,1.0214007,2.1248509883880615,2.1248509883880615,2.1248509883880615,voltage_sensitivity/tuned_family
0,0,59,14.75,7,pv_battery,8,True,0.0,-0.24812977,0.0,1.0239363,0.7549185752868652,0.1808290034532547,0.1808290034532547,voltage_sensitivity/tuned_family
0,0,59,14.75,8,pv_battery,10,True,6.535649e-05,-0.14470424,2.2339723e-06,1.0265054,0.4403184950351715,4.357293128967285,4.357293128967285,voltage_sensitivity/tuned_family
0,0,59,14.75,9,pv_battery,12,True,1.001358e-05,-0.21312279,3.4227756e-07,1.0281852,0.648422122001648,1.249765396118164,1.249765396118164,voltage_sensitivity/tuned_family
0,0,59,14.75,10,pv_only,6,True,2.7198415,-0.15257877,0.092967816,1.008731,3.1840524673461914,3.1840524673461914,3.1840524673461914,voltage_sensitivity/tuned_family
0,0,59,14.75,11,pv_battery,9,True,1.3232231e-05,-0.56343627,4.5229535e-07,1.0100912,0.7214982509613037,1.5131882429122925,1.5131882429122925,voltage_sensitivity/tuned_family
0,0,59,14.75,12,large_flex,14,True,3.428096,-4.454248,0.117176905,1.011793,5.086143493652344,10.185088157653809,10.185088157653809,voltage_sensitivity/tuned_family
0,0,59,14.75,13,large_flex,16,True,0.0,-5.970038,0.0,1.0101146,0.923282265663147,0.19596564769744873,0.19596564769744873,voltage_sensitivity/tuned_family
0,0,59,14.75,14,large_flex,17,True,4.5835972e-05,-5.9915686,1.5667348e-06,1.0094407,0.988833487033844,3.76037335395813,3.76037335395813,voltage_sensitivity/tuned_family
0,0,59,14.75,15,pv_battery,11,True,7.8313313,-0.13031621,0.26768538,1.0266331,8.22780990600586,9.276124954223633,9.276124954223633,voltage_sensitivity/tuned_family
0,0,59,14.75,16,pv_battery,13,True,3.8418589,-0.13563436,0.13131988,1.0305141,4.254517555236816,4.254517555236816,4.254517555236816,voltage_sensitivity/tuned_family
0,0,59,14.75,17,large_flex,15,True,7.290036,-0.31773657,0.24918318,1.0357448,8.256729125976562,8.256729125976562,8.256729125976562,voltage_sensitivity/tuned_family
1,0,60,15.0,0,tenant,0,False,-0.46904138,-0.15416646,-0.027985353,1.0001644,,,,voltage_sensitivity/tuned_family
1,0,60,15.0,1,tenant,1,False,-0.43650362,-0.14347182,-0.026043987,1.0064528,,,,voltage_sensitivity/tuned_family
1,0,60,15.0,2,tenant,2,False,-0.31127813,-0.10231219,-0.018572409,1.0128883,,,,voltage_sensitivity/tuned_family
1,0,60,15.0,3,tenant,3,False,-0.26945212,-0.08856464,-0.016076861,1.0188502,,,,voltage_sensitivity/tuned_family
1,0,60,15.0,4,tenant,4,False,-0.30561358,-0.10045034,-0.018234434,1.0231745,,,,voltage_sensitivity/tuned_family
1,0,60,15.0,5,tenant,5,False,-0.20375803,-0.06697203,-0.012157222,1.0275937,,,,voltage_sensitivity/tuned_family
1,0,60,15.0,6,pv_only,7,True,1.5860915,-0.08395647,0.05415351,1.0301454,1.8415236473083496,1.8415236473083496,1.8415236473083496,voltage_sensitivity/tuned_family
1,0,60,15.0,7,pv_battery,8,True,-5.9604645e-08,-0.23297608,-3.556311e-09,1.0323285,0.7088144421577454,0.38944825530052185,0.38944825530052185,voltage_sensitivity/tuned_family
1,0,60,15.0,8,pv_battery,10,True,3.9041042e-05,-0.12335195,1.332968e-06,1.034543,0.37532925605773926,4.231226921081543,4.231226921081543,voltage_sensitivity/tuned_family
1,0,60,15.0,9,pv_battery,12,True,6.0796738e-06,-0.19322701,2.0757672e-07,1.0359644,0.5878865718841553,1.1859190464019775,1.1859190464019775,voltage_sensitivity/tuned_family
1,0,60,15.0,10,pv_only,6,True,2.4617987,-0.15267804,0.08405255,1.015487,2.926311492919922,2.926311731338501,2.926311492919922,voltage_sensitivity/tuned_family
1,0,60,15.0,11,pv_battery,9,True,8.225441e-06,-0.2289797,2.808391e-07,1.0283257,0.696664035320282,1.5164248943328857,1.5164248943328857,voltage_sensitivity/tuned_family
1,0,60,15.0,12,large_flex,14,True,7.9598336,-0.55967224,0.27177054,1.037835,9.662599563598633,9.662683486938477,9.662683486938477,voltage_sensitivity/tuned_family
1,0,60,15.0,13,large_flex,16,True,0.0,-0.28598616,0.0,1.037762,0.8700941801071167,0.04664638638496399,0.04664638638496399,voltage_sensitivity/tuned_family
1,0,60,15.0,14,large_flex,17,True,2.6106834e-05,-0.30976263,8.913588e-07,1.037729,0.9424586296081543,3.540195941925049,3.540195941925049,voltage_sensitivity/tuned_family
1,0,60,15.0,15,pv_battery,11,True,8.14151,-0.13933133,0.27797347,1.0360564,8.56541633605957,8.565431594848633,8.565431594848633,voltage_sensitivity/tuned_family
1,0,60,15.0,16,pv_battery,13,True,3.481745,-0.17308478,0.118876316,1.0381428,3.8378825187683105,3.8378825187683105,3.8378825187683105,voltage_sensitivity/tuned_family
1,0,60,15.0,17,large_flex,15,True,6.6538796,-1.1100013,0.22718169,1.0427288,7.554951190948486,7.554951190948486,7.554951190948486,voltage_sensitivity/tuned_family
2,0,61,15.25,0,tenant,0,False,-0.4911433,-0.16143101,-0.029304063,0.9995545,,,,voltage_sensitivity/tuned_family
2,0,61,15.25,1,tenant,1,False,-0.46037424,-0.15131772,-0.027468229,1.0044923,,,,voltage_sensitivity/tuned_family
2,0,61,15.25,2,tenant,2,False,-0.34883222,-0.11465562,-0.020813074,1.0095986,,,,voltage_sensitivity/tuned_family
2,0,61,15.25,3,tenant,3,False,-0.27644008,-0.09086148,-0.016493797,1.0142648,,,,voltage_sensitivity/tuned_family
2,0,61,15.25,4,tenant,4,False,-0.25982472,-0.08540027,-0.015502442,1.0178026,,,,voltage_sensitivity/tuned_family
2,0,61,15.25,5,tenant,5,False,-0.15278038,-0.050216492,-0.009115641,1.0214276,,,,voltage_sensitivity/tuned_family
2,0,61,15.25,6,pv_only,7,True,1.4197258,-0.11394706,0.04850841,1.0233438,1.732649803161621,1.732649803161621,1.732649803161621,voltage_sensitivity/tuned_family
2,0,61,15.25,7,pv_battery,8,True,0.0,-0.46568766,0.0,1.0249354,0.6448260545730591,0.281714528799057,0.281714528799057,voltage_sensitivity/tuned_family
2,0,61,15.25,8,pv_battery,10,True,2.0742416e-05,-0.6356045,7.0871545e-07,1.0265894,0.4275932312011719,3.785539150238037,3.785539150238037,voltage_sensitivity/tuned_family
2,0,61,15.25,9,pv_battery,12,True,3.33786e-06,-0.8515594,1.14046166e-07,1.0276719,0.6133744716644287,1.1489648818969727,1.1489648818969727,voltage_sensitivity/tuned_family
2,0,61,15.25,10,pv_only,6,True,2.4183211,-0.15262067,0.08262787,1.0121596,2.882659435272217,2.882659435272217,2.882659435272217,voltage_sensitivity/tuned_family
2,0,61,15.25,11,pv_battery,9,True,4.7683716e-06,-0.24001956,1.629231e-07,1.022875,0.7302485704421997,1.5025044679641724,1.5025044679641724,voltage_sensitivity/tuned_family
2,0,61,15.25,12,large_flex,14,True,7.5644603,-1.6568524,0.25845832,1.0315416,9.228401184082031,9.228401184082031,9.228401184082031,voltage_sensitivity/tuned_family
2,0,61,15.25,13,large_flex,16,True,0.0,-1.3685944,0.0,1.0311968,0.8183789849281311,0.160939022898674,0.160939022898674,voltage_sensitivity/tuned_family
2,0,61,15.25,14,large_flex,17,True,1.6391277e-05,-1.367434,5.6004814e-07,1.0310497,0.8290972709655762,3.462887763977051,3.462887763977051,voltage_sensitivity/tuned_family
2,0,61,15.25,15,pv_battery,11,True,7.722044,-0.79413354,0.26384255,1.0294365,8.130188941955566,8.130188941955566,8.130188941955566,voltage_sensitivity/tuned_family
2,0,61,15.25,16,pv_battery,13,True,3.2311924,-1.0157784,0.11040161,1.0298667,3.621950149536133,3.621950149536133,3.621950149536133,voltage_sensitivity/tuned_family
2,0,61,15.25,17,large_flex,15,True,6.0471864,-2.1231399,0.20661694,1.0337572,7.020541191101074,7.020541191101074,7.020541191101074,voltage_sensitivity/tuned_family
3,0,62,15.5,0,tenant,0,False,-0.5192394,-0.17066577,-0.03098042,1.0001172,,,,voltage_sensitivity/tuned_family
3,0,62,15.5,1,tenant,1,False,-0.4286329,-0.14088483,-0.02557438,1.0057267,,,,voltage_sensitivity/tuned_family
3,0,62,15.5,2,tenant,2,False,-0.3377884,-0.11102569,-0.020154145,1.011474,,,,voltage_sensitivity/tuned_family
3,0,62,15.5,3,tenant,3,False,-0.25421128,-0.083555214,-0.015167516,1.0167763,,,,voltage_sensitivity/tuned_family
3,0,62,15.5,4,tenant,4,False,-0.2797709,-0.091956265,-0.01669253,1.0206275,,,,voltage_sensitivity/tuned_family
3,0,62,15.5,5,tenant,5,False,-0.12751168,-0.04191107,-0.0076079844,1.0245634,,,,voltage_sensitivity/tuned_family
3,0,62,15.5,6,pv_only,7,True,1.4188555,-0.08878322,0.04849401,1.0268074,1.6889727115631104,1.6889727115631104,1.6889727115631104,voltage_sensitivity/tuned_family
3,0,62,15.5,7,pv_battery,8,True,0.0,-0.21796405,0.0,1.0287213,0.6631413698196411,0.426242470741272,0.426242470741272,voltage_sensitivity/tuned_family
3,0,62,15.5,8,pv_battery,10,True,1.0371208e-05,-0.14729175,3.5446982e-07,1.0306634,0.4481358528137207,3.3086776733398438,3.3086776733398438,voltage_sensitivity/tuned_family
3,0,62,15.5,9,pv_battery,12,True,1.3113022e-06,-0.22004901,4.4818023e-08,1.0318927,0.6694859862327576,1.0245200395584106,1.0245200395584106,voltage_sensitivity/tuned_family
3,0,62,15.5,10,pv_only,6,True,2.3382375,-0.13631433,0.07991688,1.0139468,2.752964973449707,2.752964973449707,2.752964973449707,voltage_sensitivity/tuned_family
3,0,62,15.5,11,pv_battery,9,True,2.1457672e-06,-0.21215326,7.333858e-08,1.025407,0.6454645395278931,1.2194039821624756,1.2194039821624756,voltage_sensitivity/tuned_family
3,0,62,15.5,12,large_flex,14,True,7.253829,-0.7488519,0.24792324,1.0340596,8.867720603942871,8.867720603942871,8.867720603942871,voltage_sensitivity/tuned_family
3,0,62,15.5,13,large_flex,16,True,0.0,-0.3496931,0.0,1.0339724,0.5480671525001526,0.20436759293079376,0.20436759293079376,voltage_sensitivity/tuned_family
3,0,62,15.5,14,large_flex,17,True,9.417534e-06,-0.38503754,3.218749e-07,1.0339317,0.7190122604370117,3.283782958984375,3.283782958984375,voltage_sensitivity/tuned_family
3,0,62,15.5,15,pv_battery,11,True,7.257401,-0.09704755,0.24804533,1.0321378,7.552661895751953,7.552661895751953,7.552661895751953,voltage_sensitivity/tuned_family
3,0,62,15.5,16,pv_battery,13,True,3.1158252,-0.13219059,0.10649347,1.0339006,3.5180060863494873,3.5180060863494873,3.5180060863494873,voltage_sensitivity/tuned_family
3,0,62,15.5,17,large_flex,15,True,5.7142954,-0.88688076,0.19530466,1.0377374,6.79318904876709,6.79318904876709,6.79318904876709,voltage_sensitivity/tuned_family
4,0,63,15.75,0,tenant,0,False,-0.50835294,-0.16708755,-0.030330878,0.99985987,,,,voltage_sensitivity/tuned_family
4,0,63,15.75,1,tenant,1,False,-0.3835747,-0.12607493,-0.022885984,1.0045658,,,,voltage_sensitivity/tuned_family
4,0,63,15.75,2,tenant,2,False,-0.31862628,-0.10472741,-0.019010836,1.0094036,,,,voltage_sensitivity/tuned_family
4,0,63,15.75,3,tenant,3,False,-0.28845868,-0.0948118,-0.017210886,1.0139018,,,,voltage_sensitivity/tuned_family
