interval,day,day_step,hour,transformer_kw,transformer_kvar,losses_kw,voltage_max_pu,voltage_min_pu,curtailed_kw
0,0,59,14.75,-23.104668,19.71817,2.0654523,1.0358717,0.9988872,0.0
1,0,60,15.0,-28.21064,4.8274994,1.2150458,1.0436631,1.0,2.3841858e-07
2,0,61,15.25,-25.601864,14.45961,1.3232143,1.0325625,0.99935806,0.0
3,0,62,15.5,-25.146008,4.802227,0.9762272,1.0388486,1.0,0.0
4,0,63,15.75,-22.59922,9.246349,0.9181639,1.031758,0.9997144,0.0
5,0,64,16.0,-20.918846,3.958702,0.6865859,1.0325319,1.0,0.0
6,0,65,16.25,-17.82751,4.662037,0.5245663,1.0277616,0.99998474,4.7683716e-07
7,0,66,16.5,-14.409065,3.5104752,0.35325438,1.0244842,1.0,0.0
8,0,67,16.75,-10.694027,3.7608147,0.21833716,1.0182942,0.9999134,4.172325e-07
9,0,68,17.0,-7.5011253,3.783226,0.12713112,1.0138918,0.99984753,0.0
10,0,69,17.25,-4.1565895,4.0221214,0.0652771,1.0092412,0.9997616,0.0
11,0,70,17.5,-0.16212463,4.3492317,0.023594126,1.001431,0.99920434,0.0
12,0,71,17.75,2.6006699,4.482746,0.019727683,1.0,0.9957536,0.0
13,0,72,18.0,4.2181015,4.5638084,0.024876459,1.0,0.9937932,0.0
14,0,73,18.25,4.6725273,4.7979355,0.030504359,1.0,0.99310505,0.0
15,0,74,18.5,4.6725273,4.7979355,0.030389555,1.0,0.993105,0.0
16,0,75,18.75,4.684925,4.8003197,0.031437155,1.0,0.99298364,0.0
17,0,76,19.0,4.685402,4.8007965,0.030872518,1.0,0.99298364,0.0
18,0,77,19.25,4.7831535,4.9443245,0.03190337,1.0,0.99288595,0.0
19,0,78,19.5,4.7826767,4.9438477,0.03265325,1.0,0.99288595,0.0
20,0,79,19.75,4.5819283,4.664898,0.030287595,1.0,0.99306375,0.0
21,0,80,20.0,4.5809746,4.664898,0.02952886,1.0,0.99306375,0.0
22,0,81,20.25,4.553795,4.5962334,0.02911451,1.0,0.99307716,0.0
23,0,82,20.5,4.553795,4.5952797,0.02938733,1.0,0.99307716,0.0
