interval,day,day_step,hour,transformer_kw,transformer_kvar,losses_kw,voltage_max_pu,voltage_min_pu,curtailed_kw
0,0,59,14.75,-23.104668,19.71817,2.0654523,1.0358717,0.9988872,0.0
1,0,60,15.0,-27.189732,4.802227,1.130641,1.04275,1.0,2.3841858e-07
2,0,61,15.25,-25.352955,11.9485855,1.1731359,1.0337793,0.9995538,0.0
3,0,62,15.5,-24.339676,4.6548843,0.91002786,1.0377488,1.0,0.0
4,0,63,15.75,-22.045135,7.294178,0.81666696,1.0324677,0.99985915,0.0
5,0,64,16.0,-20.211697,3.8809776,0.6408435,1.0319741,1.0,4.7683716e-07
6,0,65,16.25,-18.71252,3.9625168,0.5642264,1.0311873,1.0,4.7683716e-07
7,0,66,16.5,-15.490532,3.7031174,0.40594557,1.0274253,1.0,0.0
8,0,67,16.75,-11.400223,3.7708282,0.24136482,1.0196061,0.99992687,4.172325e-07
9,0,68,17.0,-7.947445,3.788948,0.13736962,1.0142342,0.99985605,0.0
10,0,69,17.25,-4.375458,4.0221214,0.06706081,1.0094076,0.9997659,0.0
11,0,70,17.5,-0.18882751,4.348755,0.024783513,1.001452,0.9992248,5.9604645e-08
12,0,71,17.75,2.6016235,4.482746,0.01869128,1.0,0.995753,0.0
13,0,72,18.0,4.2181015,4.5638084,0.02533081,1.0,0.99379224,0.0
14,0,73,18.25,4.6725273,4.7979355,0.030408975,1.0,0.99310464,0.0
15,0,74,18.5,4.6725273,4.7979355,0.029235346,1.0,0.99310464,0.0
16,0,75,18.75,4.6830177,4.8007965,0.030018276,1.0,0.9929848,0.0
17,0,76,19.0,4.6830177,4.8007965,0.0299815,1.0,0.9929848,0.0
18,0,77,19.25,4.7822,4.9443245,0.031996217,1.0,0.99288625,0.0
19,0,78,19.5,4.7822,4.9443245,0.03237566,1.0,0.99288625,0.0
20,0,79,19.75,4.5819283,4.664898,0.030447546,1.0,0.9930646,0.0
21,0,80,20.0,4.5809746,4.664898,0.030186966,1.0,0.9930646,0.0
22,0,81,20.25,4.553795,4.5952797,0.029189432,1.0,0.9930774,0.0
23,0,82,20.5,4.553318,4.594803,0.029597707,1.0,0.9930774,0.0
24,0,83,20.75,4.3959618,4.377842,0.026502294,1.0,0.9935741,0.0
25,0,84,21.0,4.3959618,4.3768883,0.0266296,1.0,0.993574,0.0
26,0,85,21.25,4.240513,4.365921,0.025855415,1.0,0.9934949,0.0
27,0,86,21.5,4.1952133,4.2352676,0.023878844,1.0,0.99378055,0.0
28,0,87,21.75,4.1475296,4.161358,0.02315081,1.0,0.9939816,0.0
29,0,88,22.0,5.903244,4.292965,0.04274666,1.0,0.9883593,0.0
30,0,89,22.25,5.903721,4.293442,0.04240946,1.0,0.9883593,0.0
31,0,90,22.5,6.1950684,4.2386055,0.044342827,1.0,0.98825693,0.0
32,0,91,22.75,6.1950684,4.2386055,0.04460689,1.0,0.98825693,0.0
33,0,92,23.0,5.362034,3.610611,0.033093393,1.0,0.98938084,0.0
34,0,93,23.25,4.9567223,3.390789,0.027332386,1.0,0.99037385,0.0
35,0,94,23.5,4.81081,3.2143593,0.024149926,1.0,0.9910198,0.0
36,0,95,23.75,4.819393,3.296852,0.028957961,1.0,0.98991895,0.0
37,1,0,0.0,4.433155,3.0107498,0.021769132,1.0,0.9908445,0.0
38,1,1,0.25,5.0234795,2.8471947,0.028421272,1.0,0.98960805,0.0
39,1,2,0.5,5.0234795,2.8481483,0.02903224,1.0,0.989608,0.0
40,1,3,0.75,4.415512,2.670765,0.022531264,1.0,0.99072707,0.0
41,1,4,1.0,4.2586327,2.5782585,0.02053144,1.0,0.9913442,0.0
42,1,5,1.25,3.950119,2.4561882,0.015084789,1.0,0.99257755,0.0
43,1,6,1.5,3.686428,2.2640228,0.011499312,1.0,0.99342614,0.0
44,1,7,1.75,3.686428,2.2640228,0.011115206,1.0,0.99342614,0.0
45,1,8,2.0,3.686428,2.2640228,0.011278363,1.0,0.99342614,0.0
